"Date :",05/27/21 16:53:36
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Sound 1"," 0:02:00.000",30,3600,900
"Sound 2"," 0:04:02.000",30,7260,900
"Sound 3"," 0:06:04.000",30,10920,900
"Shock 1"," 0:02:30.000",2,4500,60
"Shock 2"," 0:04:32.000",2,8160,60
"Shock 3"," 0:06:34.000",2,11820,60

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF020121_120155","8",Chamber 2,"","","Shock 3",2,1.833,0.36,91.67,1.30,0,20

"VF020121_121602","9",Chamber1,"","","Sound 1",2,29.967,5.81,99.89,0.47,0,17
"VF020121_121602","9",Chamber1,"","","Sound 2",3,29.933,5.80,99.78,0.67,0,21
"VF020121_121602","9",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.09,0,7
"VF020121_121602","9",Chamber1,"","","Shock 1",1,1.567,0.30,78.33,4.35,0,34
"VF020121_121602","9",Chamber1,"","","Shock 2",1,1.767,0.34,88.33,5.63,0,48
"VF020121_121602","9",Chamber1,"","","Shock 3",2,1.633,0.32,81.67,5.45,0,31

"VF020121_121602","9",Chamber 2,"","","Sound 1",3,29.367,5.69,97.89,0.40,0,50
"VF020121_121602","9",Chamber 2,"","","Sound 2",2,29.967,5.81,99.89,0.11,0,28
"VF020121_121602","9",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF020121_121602","9",Chamber 2,"","","Shock 1",3,1.633,0.32,81.67,3.92,0,62
"VF020121_121602","9",Chamber 2,"","","Shock 2",2,0.767,0.15,38.33,16.47,0,219
"VF020121_121602","9",Chamber 2,"","","Shock 3",1,0.733,0.14,36.67,156.37,0,2204

"VF020121_122900","10",Chamber1,"","","Sound 1",3,29.867,5.79,99.56,0.90,0,25
"VF020121_122900","10",Chamber1,"","","Sound 2",4,29.867,5.79,99.56,0.84,0,20
"VF020121_122900","10",Chamber1,"","","Sound 3",2,29.933,5.80,99.78,0.31,0,21
"VF020121_122900","10",Chamber1,"","","Shock 1",2,1.267,0.25,63.33,5.52,0,33
"VF020121_122900","10",Chamber1,"","","Shock 2",3,1.200,0.23,60.00,7.70,0,53
"VF020121_122900","10",Chamber1,"","","Shock 3",3,1.600,0.31,80.00,5.52,0,40

"VF020121_122900","10",Chamber 2,"","","Sound 1",2,29.967,5.81,99.89,0.72,0,15
"VF020121_122900","10",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.11,0,5
"VF020121_122900","10",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,1
"VF020121_122900","10",Chamber 2,"","","Shock 1",2,1.867,0.36,93.33,4.78,0,79
"VF020121_122900","10",Chamber 2,"","","Shock 2",3,1.333,0.26,66.67,9.03,0,98
"VF020121_122900","10",Chamber 2,"","","Shock 3",3,1.933,0.37,96.67,2.62,0,25

"VF020121_124010","11",Chamber1,"","","Sound 1",11,27.367,5.30,91.22,2.06,0,32
"VF020121_124010","11",Chamber1,"","","Sound 2",6,28.767,5.57,95.89,1.59,0,33
"VF020121_124010","11",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.14,0,11
"VF020121_124010","11",Chamber1,"","","Shock 1",2,1.100,0.21,55.00,7.57,0,46
"VF020121_124010","11",Chamber1,"","","Shock 2",1,1.300,0.25,65.00,4.88,0,22
"VF020121_124010","11",Chamber1,"","","Shock 3",3,1.400,0.27,70.00,7.58,0,113

"VF020121_124010","11",Chamber 2,"","","Sound 1",3,28.933,5.61,96.44,2.20,0,176
"VF020121_124010","11",Chamber 2,"","","Sound 2",1,29.467,5.71,98.22,0.24,0,39
"VF020121_124010","11",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,1
"VF020121_124010","11",Chamber 2,"","","Shock 1",2,1.100,0.21,55.00,13.60,0,183
"VF020121_124010","11",Chamber 2,"","","Shock 2",2,1.367,0.26,68.33,5.67,0,66
"VF020121_124010","11",Chamber 2,"","","Shock 3",1,0.733,0.14,36.67,7.12,0,69

"VF020121_125225","12",Chamber1,"","","Sound 1",3,29.900,5.79,99.67,0.47,0,21
"VF020121_125225","12",Chamber1,"","","Sound 2",2,29.967,5.81,99.89,0.24,0,22
"VF020121_125225","12",Chamber1,"","","Sound 3",1,30.000,5.81,100.00,0.01,0,2
"VF020121_125225","12",Chamber1,"","","Shock 1",2,1.767,0.34,88.33,4.75,0,30
"VF020121_125225","12",Chamber1,"","","Shock 2",2,1.467,0.28,73.33,5.17,0,35
"VF020121_125225","12",Chamber1,"","","Shock 3",2,1.433,0.28,71.67,4.15,0,27

"VF020121_125225","12",Chamber 2,"","","Sound 1",3,29.933,5.80,99.78,0.31,0,26
"VF020121_125225","12",Chamber 2,"","","Sound 2",1,30.000,5.81,100.00,0.34,0,12
"VF020121_125225","12",Chamber 2,"","","Sound 3",1,30.000,5.81,100.00,0.00,0,0
"VF020121_125225","12",Chamber 2,"","","Shock 1",2,1.933,0.37,96.67,2.15,0,43
"VF020121_125225","12",Chamber 2,"","","Shock 2",1,1.500,0.29,75.00,2.05,0,18
"VF020121_125225","12",Chamber 2,"","","Shock 3",2,1.433,0.28,71.67,4.40,0,32

"VF020121_130614","13",Chamber1,"","","Sound 1",6,29.233,5.67,97.44,1.67,0,29
"VF020121_130614","13",Chamber1,"","","Sound 2",2,29.933,5.80,99.78,1.13,0,17
"VF020121_130614","13",Chamber1,"","","Sound 3",5,29.600,5.74,98.67,0.72,0,21
