"","Group.1","Group.2","Group.3","Group.4","Test","Animal","Treatment","Diet","APOE","Sex","Code","Stage","Trial","LaunchQuad","Apparatus","Date","Winding","Duration","Distance","Mean.speed","NE.time","NE.distance","NE...average.speed","NW.time","NW.distance","NW...average.speed","SE.time","SE.distance","SE...average.speed","SW.time","SW.distance","SW...average.speed","NormSWTime","NormSWDist","Island...distance.to.first.entry","Island...latency.to.first.entry","Thigmitaxis...time","Thigmitaxis...distance","Thigmitaxis...average.speed","SW...latency.to.first.entry","residuals"
"36",41,3,1,1,68,41,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,40.25,0.7833,0.174,11.2,0.24895,NA,5.4,0.1133,NA,12.85,0.2429,0.1915,10.15,0.16485,0.1435,0.276747967479675,0.214525027027383,NA,NA,20.35,3.864,0.173,NA,0.0781224192687841
"37",42,3,1,1,43,42,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,60,1.16825,0.195,20.45,0.3983,0.1935,18.75,0.35455,0.184,11.25,0.21965,0.196,9.4,0.19035,0.2055,0.156666666666667,0.167205075318766,NA,NA,41.25,7.943,0.193,NA,-1.01850430475747
"38",43,3,1,1,70,43,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,55.7,1.2065,0.216,10.25,0.22875,0.223,19.75,0.4405,0.2265,11.45,0.26415,0.22,14.3,0.2731,0.1895,0.25757457846952,0.22279681248781,NA,NA,11.7,2.723,0.2325,NA,3.53486897121628
"39",45,3,1,1,45,45,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,59,1.0947,0.1855,19.5,0.3853,0.206,17.35,0.3067,0.1715,7.5,0.17005,0.226,14.7,0.2326,0.158,0.249137931034483,0.212928848849399,NA,NA,30.7,5.599,0.185,NA,4.43830302277822
"40",46,3,1,1,72,46,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,1.26935,0.2115,20.45,0.42255,0.21,12.55,0.2303,0.1815,13.4,0.3062,0.213,13.35,0.3078,0.227,0.2225,0.239507464774311,NA,NA,33.65,6.734,0.1975,NA,2.65914612636476
"41",47,3,1,1,47,47,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,34.95,0.44335,0.115,0,0,NA,2.3,0.03135,NA,15.1,0.21155,NA,17.5,0.2005,0.095,0.510959595959596,0.41164647765344,NA,NA,14.05,1.6905,NA,NA,8.40197845343778
"42",48,3,1,1,74,48,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,43.7,0.81415,0.1895,6.1,0.10145,0.171,9.3,0.15855,0.143,17.25,0.3457,0.203,11.1,0.20845,0.183,0.272250608272506,0.256615519665839,NA,NA,19.85,3.7195,0.2005,NA,0.772278884868456
"43",49,3,1,1,49,49,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,40.05,0.5579,0.132,0.35,0.00645,NA,21.1,0.31235,0.144,3.35,0.05815,NA,15.3,0.18095,0.112,0.40884328358209,0.344304488290252,NA,NA,23.75,3.1055,0.1285,NA,5.92137586732129
"44",50,3,1,1,76,50,NA,NA,3,1,NA,1,3,NA,NA,NA,NA,60,0.92655,0.1545,20.25,0.2933,0.1475,13.8,0.22855,0.1655,11.9,0.18125,0.157,13.7,0.21745,0.1575,0.228333333333333,0.234151830223084,NA,NA,33.3,5.086,0.1545,NA,3.94999009157887
"45",51,3,1,1,51,51,NA,NA,3,1,NA,1,2,NA,NA,NA,NA,51.1,0.85295,0.166,15.35,0.25695,0.1695,19.7,0.3731,0.196,1.05,0.0185,0.1505,15.05,0.2043,0.139,0.308127962085308,0.239988370402046,NA,NA,28.1,4.5185,0.1625,NA,5.11017069508831
