"","Animal","Genotype","Diet","Day","Sex","Time","Distance","TimeNorm","DistNorm","Quadrant"
"256","210222_4","E3HN","Control","Probe_D8","M",22.5,0.4155,0.389948006932409,0.403829332296628,"SW"
"257","210222_5","E3HN","Control","Probe_D8","M",29.1,0.5318,0.496587030716723,0.530526735833998,"SW"
"258","210222_6","E3HN","Control","Probe_D8","M",19.5,0.4276,0.325,0.318391660461653,"SW"
"259","210614-8","E3HN","HFD","Probe_D8","M",14.7,0.2994,0.245409015025042,0.283147342538302,"SW"
"260","210614-9","E3HN","HFD","Probe_D8","M",15.8,0.3517,0.265546218487395,0.282331219394718,"SW"
"261","210614-10","E3HN","HFD","Probe_D8","M",7.1,0.0876,0.118333333333333,0.0850981154070332,"SW"
"262","210614-11","E3HN","HFD","Probe_D8","M",15.2,0.3474,0.25503355704698,0.28993490235353,"SW"
"263","210614-12","E3HN","HFD","Probe_D8","M",15.3,0.3231,0.256281407035176,0.265554368373469,"SW"
"264","210614-13","E3HN","HFD","Probe_D8","F",13,0.2394,0.216666666666667,0.207488299531981,"SW"
"265","210614-14","E3HN","HFD","Probe_D8","F",29,0.5484,0.509666080843585,0.532323820617356,"SW"
"266","210614-15","E3HN","HFD","Probe_D8","F",14.4,0.3259,0.246575342465753,0.260324307053279,"SW"
"267","210614-16","E3HN","HFD","Probe_D8","F",19,0.4194,0.322033898305085,0.317078702653663,"SW"
"268","210614-31","E3HN","HFD","Probe_D8","F",8.7,0.2079,0.145,0.179425217916631,"SW"
"269","210614-17","E3HN","Control","Probe_D8","F",17.9,0.4021,0.30185497470489,0.303357223689174,"SW"
"270","210614-18","E3HN","Control","Probe_D8","F",18.6,0.4027,0.312605042016807,0.340175705355634,"SW"
"271","210614-19","E3HN","Control","Probe_D8","F",11.4,0.2422,0.193877551020408,0.205149923767576,"SW"
"272","210614-20","E3HN","Control","Probe_D8","F",19.8,0.4586,0.33389544688027,0.332126303592121,"SW"
"273","210614-21","E3HN","Control","Probe_D8","M",17.9,0.3852,0.300840336134454,0.304795062509891,"SW"
"274","210614-22","E3HN","Control","Probe_D8","M",19,0.3753,0.319327731092437,0.321483638855577,"SW"
"275","210614-23","E3HN","Control","Probe_D8","M",16.9,0.3768,0.282136894824708,0.273558879047481,"SW"
"276","210614-24","E3HN","Control","Probe_D8","M",30.6,0.5601,0.55535390199637,0.530046370776947,"SW"
"277","210614-25","E3HN","Control","Probe_D8","M",32.9,0.7034,0.575174825174825,0.572102480683205,"SW"
"278","210614-26","E3HN","Control","Probe_D8","M",6.7,0.1802,0.111480865224626,0.13358042994811,"SW"
"279","210614-27","E3HN","Control","Probe_D8","M",11.4,0.2819,0.197573656845754,0.206112451561015,"SW"
"280","210614-28","E3HN","Control","Probe_D8","M",12.1,0.2576,0.208620689655172,0.230783013796811,"SW"
"281","210614-29","E3HN","Control","Probe_D8","M",17.1,0.3646,0.292808219178082,0.28902100673801,"SW"
"282","210614-30","E3HN","Control","Probe_D8","M",23.9,0.5259,0.412068965517241,0.417083035926719,"SW"
"283","201026_1","E4HN","Control","Probe_D8","F",21.2,0.3832,0.352745424292845,0.343707955870482,"SW"
"284","201026_2","E4HN","Control","Probe_D8","F",18.2,0.4052,0.303333333333333,0.309077040427155,"SW"
"285","201026_3","E4HN","Control","Probe_D8","M",27.1,0.5659,0.451666666666667,0.425648740127868,"SW"
"286","201026_4","E4HN","Control","Probe_D8","M",10.1,0.2077,0.168333333333333,0.194730920682543,"SW"
"287","210118-1","E4HN","HFD","Probe_D8","M",35.2,0.4612,0.586666666666667,0.585799568144291,"SW"
"288","210118-2","E4HN","HFD","Probe_D8","M",26.7,0.4666,0.444259567387687,0.481427981840693,"SW"
"289","210118-3","E4HN","HFD","Probe_D8","M",29.2,0.4021,0.48585690515807,0.484282789353246,"SW"
"290","210118-4","E4HN","HFD","Probe_D8","F",35.6,0.5641,0.593333333333333,0.54344894026975,"SW"
"291","210118-5","E4HN","HFD","Probe_D8","F",35,0.4801,0.583333333333333,0.546126720509612,"SW"
"292","210118-6","E4HN","HFD","Probe_D8","F",36.6,0.5942,0.6110183639399,0.629983036471586,"SW"
"293","210118-7","E4HN","HFD","Probe_D8","F",37.2,0.6117,0.62,0.601711587645092,"SW"
"294","210118-8","E4HN","HFD","Probe_D8","F",27.4,0.4638,0.455906821963394,0.459936533121777,"SW"
"295","210118-9","E4HN","HFD","Probe_D8","F",24.3,0.3653,0.405,0.354694630546655,"SW"
"296","210118-10","E4HN","HFD","Probe_D8","F",27.9,0.4931,0.465776293823038,0.452967113724049,"SW"
"445","190715_10","E22","Control","Probe_D8","M",34,0.591,0.566666666666667,0.541903539336145,"SE"
"446","190715_5","E22","Control","Probe_D8","M",20.9,0.4337,0.348333333333333,0.338695821944553,"SE"
"447","190715_6","E22","Control","Probe_D8","M",11.4,0.3007,0.19,0.232541953445209,"SE"
"448","190715_7","E22","Control","Probe_D8","F",5.5,0.1339,0.0916666666666667,0.118811002661934,"SE"
"449","190715_8","E22","Control","Probe_D8","F",21.8,0.4837,0.363333333333333,0.371619545175169,"SE"
"450","190715_9","E22","Control","Probe_D8","M",12.7,0.2862,0.211666666666667,0.233289859797848,"SE"
"451","191028_3","E22","Control","Probe_D8","F",12.4,0.2659,0.206666666666667,0.210830954646369,"SE"
"452","191028_4","E22","Control","Probe_D8","F",1.7,0.0247,0.0282861896838602,0.0242299391799097,"SE"
"453","191028_5","E22","Control","Probe_D8","F",29.1,0.5723,0.484193011647255,0.445404311619581,"SE"
"454","191028_6","E22","Control","Probe_D8","M",16.6,0.3437,0.276666666666667,0.285654920212766,"SE"
"455","191028_7","E22","Control","Probe_D8","M",6.1,0.1178,0.101666666666667,0.0956246448575371,"SE"
"456","210222_16","E22","Control","Probe_D8","M",6.8,0.1512,0.165450121654501,0.164759725400458,"SE"
"457","210222_17","E22","Control","Probe_D8","F",8.2,0.2163,0.1396933560477,0.162399579548014,"SE"
"458","210503-18","E22","Control","Probe_D8","M",18.3,0.3998,0.35672514619883,0.331426676614441,"SE"
"459","210503-19","E22","Control","Probe_D8","M",14,0.3378,0.375335120643432,0.417707431680475,"SE"
"460","210503-20","E22","Control","Probe_D8","M",13.8,0.2729,0.266924564796905,0.254665920119448,"SE"
"461","210503-21","E22","Control","Probe_D8","F",23.6,0.4986,0.448669201520913,0.419909044972208,"SE"
"462","210503-22","E22","Control","Probe_D8","F",19.5,0.4231,0.376447876447876,0.386816602669592,"SE"
"463","190715_1","E33","Control","Probe_D8","M",10.3,0.2553,0.171666666666667,0.184358752166378,"SE"
"464","190715_2","E33","Control","Probe_D8","M",14.2,0.3644,0.236666666666667,0.260099928622412,"SE"
"465","190715_3","E33","Control","Probe_D8","M",12.8,0.2059,0.212978369384359,0.186503623188406,"SE"
"466","190909_2","E33","Control","Probe_D8","M",14.8,0.3405,0.246666666666667,0.236261448792673,"SE"
"467","190909_3","E33","Control","Probe_D8","F",16.9,0.3246,0.282608695652174,0.293463520477353,"SE"
"468","190909_4","E33","Control","Probe_D8","F",20.2,0.486,0.348877374784111,0.34818741940106,"SE"
"469","190909_8","E33","Control","Probe_D8","M",23.2,0.5677,0.386666666666667,0.396743308407296,"SE"
"470","190909_9","E33","Control","Probe_D8","F",11.2,0.2179,0.186978297161937,0.202565771125779,"SE"
"471","210118-15","E33","HFD","Probe_D8","F",7.5,0.115,0.125,0.135677206229353,"SE"
"472","210118-16","E33","HFD","Probe_D8","F",7.5,0.1637,0.125208681135225,0.150611831815254,"SE"
"473","210118-17","E33","HFD","Probe_D8","F",7.8,0.1674,0.129783693843594,0.136842965748386,"SE"
"474","210118-18","E33","HFD","Probe_D8","F",23.6,0.4343,0.393333333333333,0.369711415680599,"SE"
"475","210118-19","E33","HFD","Probe_D8","F",17.5,0.3688,0.291666666666667,0.313712146988772,"SE"
"476","210118-20","E33","HFD","Probe_D8","F",12.3,0.2282,0.205,0.204132748904195,"SE"
"477","210118-21","E33","HFD","Probe_D8","F",7.3,0.14,0.121666666666667,0.122036262203626,"SE"
"478","210118-22","E33","HFD","Probe_D8","M",11.9,0.241,0.198333333333333,0.216162884563638,"SE"
"479","210118-23","E33","HFD","Probe_D8","M",12.6,0.1818,0.21,0.214766686355582,"SE"
"480","210118-24","E33","HFD","Probe_D8","M",12.6,0.2471,0.21,0.249924142813796,"SE"
"481","210118-25","E33","HFD","Probe_D8","M",10,0.1512,0.166666666666667,0.203691229960932,"SE"
"482","210118-26","E33","HFD","Probe_D8","M",7.3,0.1423,0.121869782971619,0.144760935910478,"SE"
"483","210118-27","E33","HFD","Probe_D8","M",7.5,0.1484,0.125,0.147632311977716,"SE"
"484","210201_1","E33","Control","Probe_D8","F",4.2,0.0911,0.07,0.0771837668389392,"SE"
"485","210201_2","E33","Control","Probe_D8","F",18.3,0.4885,0.305,0.311384497705252,"SE"
"486","210201_3","E33","Control","Probe_D8","F",20.4,0.4184,0.34,0.351774003699344,"SE"
"487","210201_4","E33","Control","Probe_D8","F",10.7,0.2671,0.178333333333333,0.180509562749206,"SE"
"488","210201_5","E33","Control","Probe_D8","F",17.3,0.4215,0.28881469115192,0.294281924177896,"SE"
"489","210222_7","E33","Control","Probe_D8","F",7.2,0.1515,0.208092485549133,0.201973070257299,"SE"
"490","210222_8","E33","Control","Probe_D8","F",7.3,0.166,0.154008438818565,0.15411753783307,"SE"
"491","210222_9","E33","Control","Probe_D8","F",11.6,0.266,0.201388888888889,0.20042194092827,"SE"
"492","210222_10","E33","Control","Probe_D8","F",7.5,0.1662,0.142585551330799,0.16146895948703,"SE"
