Animal_ID,Experiment,Trial,Box,Treatment,Sex,Genotype,,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index,Month
211122-12,VF121421_103735,day1_trial6,Chamber 2,Control,male,APOE22HN,,White House Light,116,230.4,76.8,76.8,9.13,0,527,November
211122-13,VF121421_104531,day1_trial7,Chamber1,Control,male,APOE22HN,,White House Light,27,284.733,94.91,94.91,2.95,0,521,November
211122-14,VF121421_104531,day1_trial7,Chamber 2,Control,male,APOE22HN,,White House Light,126,166.433,55.48,55.48,22.34,0,618,November
211122-15,VF121421_105340,day1_trial8,Chamber1,Control,male,APOE22HN,,White House Light,33,285.2,95.07,95.07,2.21,0,326,November
211122-16,VF121421_105340,day1_trial8,Chamber 2,Control,male,APOE22HN,,White House Light,126,141.8,47.27,47.27,35.87,0,813,November
211122-23,VF121421_110201,day1_trial9,Chamber1,Control,male,APOE22HN,,White House Light,103,242.967,80.99,80.99,9.47,0,453,November
211122-24,VF121421_110201,day1_trial9,Chamber 2,Control,male,APOE22HN,,White House Light,87,267.767,89.26,89.26,3.43,0,400,November
211122-25,VF121421_110958,day1_trial10,Chamber1,Control,male,APOE22HN,,White House Light,12,294.4,98.13,98.13,0.72,0,234,November
211122-26,VF121421_110958,day1_trial10,Chamber 2,Control,male,APOE22HN,,White House Light,104,232.7,77.57,77.57,7.49,0,607,November
211122-27,VF121421_111817,day1_trial11,Chamber1,Control,male,APOE22HN,,White House Light,33,290.9,96.97,96.97,1.11,0,157,November
211122-28,VF121421_111817,day1_trial11,Chamber 2,Control,male,APOE22HN,,White House Light,120,195.167,65.06,65.06,11.54,0,557,November
