,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSMUSG00000022972,83.53331028,-0.116887382,0.260181367,0.137391738,0.703020621
ENSMUSG00000022973,144.097467,0.238963338,0.320707054,0.086380613,0.592268686
ENSMUSG00000022974,80.48351183,0.126285323,0.257749234,0.177107344,0.767046464
ENSMUSG00000022978,38.79501462,0.024819847,0.224646231,0.712739849,0.999871382
ENSMUSG00000022982,3231.019975,-0.543462989,0.19836433,0.000617716,0.037205117
ENSMUSG00000022983,171.1311826,0.118123245,0.249182565,0.213467801,0.811484442
ENSMUSG00000022991,2.676544444,-0.009934126,0.233407084,0.481248253,0.999871382
ENSMUSG00000022992,108.1867948,0.120695438,0.239531416,0.263879983,0.866282259
ENSMUSG00000022993,0.831642491,-0.000677036,0.23317656,0.983789864,0.999871382
ENSMUSG00000022994,203.4545507,0.161086682,0.287084713,0.105740283,0.638449431
ENSMUSG00000022995,94.10181258,0.094772254,0.244689747,0.217251482,0.814953017
ENSMUSG00000022996,2.775845522,0.004556962,0.232949526,0.773771097,0.999871382
ENSMUSG00000022999,439.7297293,-0.03787851,0.185473042,0.739962935,0.999871382
ENSMUSG00000023000,0.212704198,0.001077297,0.233305725,0.947456275,0.999871382
ENSMUSG00000023004,3192.887634,-0.434947241,0.252724235,0.011297839,0.226409934
ENSMUSG00000023007,42.91056841,0.141263684,0.281180795,0.083311474,0.584403142
ENSMUSG00000023008,209.8537945,0.111980082,0.200836997,0.363942644,0.945246445
ENSMUSG00000023009,88.96052988,0.057914033,0.231556409,0.404274647,0.965511044
ENSMUSG00000023010,8817.045561,-0.007409625,0.166167897,0.945571553,0.999871382
ENSMUSG00000023011,18.38384418,-0.030147744,0.228208712,0.555779808,0.999871382
ENSMUSG00000023015,236.3306326,0.134160325,0.253364571,0.189878452,0.784640583
ENSMUSG00000023017,5.09467883,-0.029498696,0.234577648,0.180757872,0.771327111
ENSMUSG00000023018,193.064313,0.067632646,0.219877873,0.487470311,0.999871382
ENSMUSG00000023019,19.72137805,0.041040509,0.233569018,0.371959198,0.948976083
ENSMUSG00000023020,357.5580714,0.223823872,0.243888004,0.112226783,0.655471203
ENSMUSG00000023021,163.7608197,0.037398473,0.214449229,0.685893452,0.999871382
ENSMUSG00000023022,47.14561138,0.082496873,0.241505078,0.240115023,0.839911194
ENSMUSG00000023025,141.3765878,0.040091509,0.212962816,0.664932057,0.999871382
ENSMUSG00000023026,145.3211206,0.167802487,0.288707236,0.107582368,0.642338617
ENSMUSG00000023027,136.7616827,0.17834292,0.277035519,0.127695372,0.685302317
ENSMUSG00000023030,62.02030472,-0.031186953,0.223408091,0.677644688,0.999871382
ENSMUSG00000023031,574.2455996,0.019064073,0.204536686,0.838180083,0.999871382
ENSMUSG00000023032,55.9554859,0.001487167,0.226626352,0.989938564,0.999871382
ENSMUSG00000023033,8.744094971,-0.016185461,0.232928419,0.515074522,0.999871382
ENSMUSG00000023034,209.5405448,0.056876102,0.203443372,0.592077766,0.999871382
ENSMUSG00000023036,45.79401291,0.016717466,0.222904655,0.794030268,0.999871382
ENSMUSG00000023039,72.56583024,-0.024690874,0.223710723,0.692627603,0.999871382
ENSMUSG00000023043,141.0571452,-0.078377415,0.247506313,0.076344614,0.562709336
ENSMUSG00000023044,78.47194427,-0.017213067,0.215953975,0.84204229,0.999871382
ENSMUSG00000023045,157.67353,0.085756126,0.212495234,0.462329167,0.994602643
ENSMUSG00000023046,243.5059797,-0.06828944,0.231445773,0.372868143,0.948976083
ENSMUSG00000023047,7.996487618,0.056363936,0.242669929,0.019641631,0.305233768
ENSMUSG00000023048,5927.110064,-0.067788011,0.162534028,0.553572053,0.999871382
ENSMUSG00000023050,37.59534739,0.03232979,0.224806591,0.627472635,0.999871382
ENSMUSG00000023051,320.5620015,-0.149701859,0.208665358,0.227077058,0.824452855
ENSMUSG00000023052,66.10118667,-0.055120564,0.230594564,0.420921451,0.975161153
ENSMUSG00000023055,957.342178,0.079167613,0.182732107,0.496081566,0.999871382
ENSMUSG00000023057,0.244875488,0.000790791,0.23328777,0.935530057,0.999871382
ENSMUSG00000023064,2.220556761,-0.001172483,0.233105769,0.9054725,0.999871382
ENSMUSG00000023066,36.18017417,-0.035622784,0.224058879,0.587900369,0.999871382
ENSMUSG00000023067,109.1762862,-0.040289667,0.219125413,0.618888962,0.999871382
ENSMUSG00000023068,159.6676711,0.200610056,0.319694747,0.071633217,0.545632735
ENSMUSG00000023070,6.053812215,0.056405864,0.242282291,0.052176389,0.474182771
ENSMUSG00000023072,233.8249553,-0.243139559,0.332412446,0.084605433,0.587110431
ENSMUSG00000023073,1.722156186,0.052444882,0.240871685,0.032233797,0.384645558
ENSMUSG00000023074,88.87736791,0.05536547,0.222222093,0.487473021,0.999871382
ENSMUSG00000023075,454.1055567,0.507809322,0.603033217,0.01945361,0.303526015
ENSMUSG00000023078,406.3645415,0.022420333,0.229515347,0.647145168,0.999871382
ENSMUSG00000023079,9.242265626,0.053515887,0.237345206,0.268728931,0.87177451
ENSMUSG00000023083,0.102332319,0.001227286,0.233181159,0.971883083,0.999871382
ENSMUSG00000023084,8.623541478,-0.020695347,0.233822814,0.364901131,0.945246445
ENSMUSG00000023087,33931.26333,0.219763005,0.321758279,0.048259737,0.457784803
ENSMUSG00000023088,126.7105008,0.101338338,0.23857159,0.283293629,0.88631779
ENSMUSG00000023089,194.4922588,-0.314132047,0.33454251,0.043572226,0.438394427
ENSMUSG00000023092,5199.860327,0.17519843,0.261009223,0.140367227,0.708572473
ENSMUSG00000023094,72.65033983,-0.001168432,0.222203565,0.98095939,0.999871382
ENSMUSG00000023104,518.1511945,-0.260862371,0.195628807,0.061108624,0.510449424
ENSMUSG00000023106,302.6462602,-0.115148184,0.218414199,0.315759699,0.911194428
ENSMUSG00000023110,307.7152433,-0.140873327,0.240635504,0.217701193,0.815320194
ENSMUSG00000023118,1286.672575,-0.409125725,0.460755971,0.024497792,0.333886826
ENSMUSG00000023132,258.3360692,0.030293652,0.201946615,0.758841351,0.999871382
ENSMUSG00000023140,18.71096753,-0.059249159,0.240495057,0.139674863,0.707742387
ENSMUSG00000023143,283.0776834,-0.155342996,0.251565708,0.183325433,0.774536399
ENSMUSG00000023147,24.47263411,0.03086326,0.229524884,0.582493917,0.999871382
ENSMUSG00000023150,228.1075531,0.451020961,0.582202744,0.023307793,0.327411191
ENSMUSG00000023151,0.443405405,-0.002303067,0.233323354,6.15163E-08,1.93965E-05
