Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
95,191028_7,APOE2/2M,B,Day5,3,MWM_150,11/1/2019,9.3,0.924,0.100,0.0,0.000,,0.0,0.000,,0.0,0.000,,9.3,0.924,0.100,0.854,7.2,2.1,0.230,0.110,Control
96,191028_3,APOE2/2F,A,Day5,4,MWM_150,11/1/2019,27.3,5.300,0.194,8.0,1.657,0.207,6.2,1.315,0.212,7.7,1.653,0.214,5.4,0.674,0.125,5.227,25.2,1.3,0.253,0.194,Control
97,191028_4,APOE2/2F,A,Day5,4,MWM_150,11/1/2019,19.6,2.308,0.118,6.2,0.738,0.119,1.8,0.311,0.176,1.9,0.185,0.097,9.7,1.073,0.111,2.239,17.5,0.0,0.000,,Control
98,191028_5,APOE2/2F,A,Day5,4,MWM_150,11/1/2019,7.0,0.713,0.101,0.0,0.000,,0.0,0.000,,0.0,0.000,,7.0,0.713,0.101,0.644,5.0,0.0,0.000,,Control
99,191028_6,APOE2/2M,B,Day5,4,MWM_150,11/1/2019,22.0,4.020,0.183,7.1,1.417,0.201,6.6,1.432,0.218,0.0,0.000,,8.4,1.172,0.140,3.913,19.9,2.2,0.323,0.147,Control
100,191028_7,APOE2/2M,B,Day5,4,MWM_150,11/1/2019,37.6,8.500,0.226,9.6,2.301,0.239,8.5,1.990,0.235,5.0,1.217,0.242,14.5,2.992,0.206,8.304,35.6,5.9,1.234,0.209,Control
101,191028_3,APOE2/2F,A,Probe_D5,1,MWM_150,11/1/2019,60.0,12.128,0.202,6.3,1.325,0.210,18.0,3.539,0.197,10.9,2.276,0.208,24.7,4.989,0.202,2.542,14.6,1.5,0.417,0.278,Control
102,191028_4,APOE2/2F,A,Probe_D5,1,MWM_150,11/1/2019,60.0,10.151,0.169,9.1,1.683,0.186,8.7,1.631,0.187,11.7,2.053,0.175,30.5,4.783,0.157,6.821,42.3,3.3,0.381,0.117,Control
103,191028_5,APOE2/2F,A,Probe_D5,1,MWM_150,11/1/2019,60.0,12.110,0.202,4.1,0.905,0.223,6.3,1.247,0.198,9.4,2.274,0.241,40.2,7.684,0.191,0.469,3.2,6.6,1.179,0.178,Control
104,191028_6,APOE2/2M,B,Probe_D5,1,MWM_150,11/1/2019,60.0,12.057,0.201,11.5,2.455,0.213,12.8,2.670,0.208,12.0,2.174,0.181,23.7,4.758,0.201,1.817,10.3,6.0,0.910,0.153,Control
105,191028_7,APOE2/2M,B,Probe_D5,1,MWM_150,11/1/2019,60.0,11.264,0.188,7.0,1.050,0.151,9.2,1.738,0.189,8.5,1.600,0.188,35.3,6.876,0.195,1.635,11.3,6.3,1.383,0.218,Control
106,191028_3,APOE2/2F,A,Probe_D8,1,MWM_150,11/4/2019,60.0,12.612,0.210,10.4,2.160,0.209,14.9,3.187,0.213,12.4,2.659,0.215,22.3,4.606,0.206,2.338,12.8,8.1,1.660,0.206,Control
107,191028_4,APOE2/2F,A,Probe_D8,1,MWM_150,11/4/2019,60.0,10.194,0.170,1.1,0.258,0.235,9.7,1.866,0.193,1.7,0.247,0.149,47.6,7.823,0.164,1.271,9.4,8.8,1.412,0.160,Control
108,191028_5,APOE2/2F,A,Probe_D8,1,MWM_150,11/4/2019,60.0,12.848,0.214,3.0,0.714,0.241,3.1,0.778,0.254,29.1,5.723,0.197,24.9,5.634,0.226,7.667,34.8,14.6,2.719,0.186,Control
109,191028_6,APOE2/2M,B,Probe_D8,1,MWM_150,11/4/2019,60.0,12.032,0.201,15.7,2.772,0.176,17.0,3.370,0.199,16.6,3.437,0.207,10.7,2.453,0.230,3.830,20.6,4.5,0.652,0.146,Control
110,191028_7,APOE2/2M,B,Probe_D8,1,MWM_150,11/4/2019,60.0,12.319,0.205,7.5,1.476,0.197,27.7,5.596,0.202,6.1,1.178,0.193,18.7,4.069,0.218,4.682,21.8,3.2,0.662,0.205,Control
