Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
333,210503_3,E33_M,C,Day4,4,MWM_150,5/13/21,15.9,2.139,SW,0.135,2.1,0.396,0.188,0,0,,2,0.5,0.254,9.1,0.889,0,0.098,2.053,11.8,2.7,0.354,0.129,Control
334,210503_4,E33_M,C,Day4,4,MWM_150,5/13/21,15.2,2.576,SW,0.169,3.2,0.677,0.212,0,0,,4.7,1.229,0.261,6.8,0.627,0,0.093,2.576,11.2,0.6,0.043,0.076,Control
335,210503_5,E33_M,C,Day4,4,MWM_150,5/13/21,26.1,1.693,SW,0.065,0,0,,0,0,,0.8,0.114,0.149,25.3,1.579,0,0.062,1.659,22,0,0,,Control
336,210503_6,E33_M,C,Day4,4,MWM_150,5/13/21,15.8,1.76,SW,0.111,0,0,,3.5,0.563,0.162,0,0,,12.4,1.196,0,0.097,1.682,11.8,0,0,,Control
337,210503_7,E33_F,B,Day4,4,MWM_150,5/13/21,12.8,2.383,SE,0.187,0,0,,0,0,,2,0.314,0.158,9.8,1.882,2.8,0.192,1.664,8.7,1,0.188,0.194,Control
338,210503_8,E33_F,B,Day4,4,MWM_150,5/13/21,60,11.663,Thigmitaxis,0.194,1.7,0.278,0.167,0.2,0,0,2,0.356,0.181,0.4,0,0.6,0,,,56.4,11.029,0.196,Control
339,210503_9,E33_F,B,Day4,4,MWM_150,5/13/21,4.9,0.184,SW,0.038,0,0,,0,0,,0,0,,4.9,0.184,0,0.038,0.105,0.8,0,0,,Control
340,210503_10,E33_F,B,Day4,4,MWM_150,5/13/21,15.3,4.079,SW,0.267,2.2,0.665,0.298,2,0.639,0.325,2.3,0.958,0.41,7.8,1.818,0,0.232,3.262,11.2,0.9,0,0,Control
341,210503_11,E33_F,B,Day4,4,MWM_150,5/13/21,4.4,0.447,SW,0.101,0,0,,0,0,,0,0,,4.4,0.447,0,0.101,0,0,0,0,,Control
342,210503_12,E33_F,B,Day4,4,MWM_150,5/13/21,25.4,3.869,SW,0.153,0,0,,3.5,0.757,0.214,4.4,0.968,0.218,11.6,1.649,0,0.143,3.835,21.3,5.8,0.495,0.085,Control
343,210503_13,E33_F,B,Day4,4,MWM_150,5/13/21,4.8,0.633,SW,0.133,0,0,,0,0,,0.7,0.068,0.092,4,0.565,0,0.14,0.045,0.7,0,0,,Control
344,210503_14,E33_F,B,Day4,4,MWM_150,5/13/21,4.4,0.566,SW,0.128,0,0,,0,0,,1.4,0.071,0.05,3,0.495,0,0.164,0,0,0,0,,Control
345,210503_15,E33_F,B,Day4,4,MWM_150,5/13/21,13.6,2.477,Thigmitaxis,0.183,3,0.797,0.266,3.3,0.865,0.26,0.9,0.219,0.243,4.8,0.338,8.8,0.07,2.344,9.5,1.5,0.259,0.169,Control
346,210503_16,E33_F,B,Day4,4,MWM_150,5/13/21,17.7,2.744,SW,0.155,0,0,,3.7,0.78,0.211,0,0,,7.8,0.876,0,0.113,2.672,13.7,6.3,1.088,0.174,Control
347,210503_17,E33_F,B,Day4,4,MWM_150,5/13/21,53.5,8.264,SW,0.154,7.7,1.356,0.177,4,0.749,0.189,13.6,2.426,0.178,17.5,2.495,0,0.142,8.011,49.5,10.7,1.238,0.115,Control
348,210503_18,E22_M,A,Day4,4,MWM_150,5/13/21,34.6,5.727,SW,0.166,0,0,,1.9,0.328,0.176,9.7,1.566,0.162,18.9,3.127,0,0.166,5.217,30.5,4.2,0.705,0.169,Control
