Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
171,210222_1,E3HN_F,E,Day3,3,MWM_150,3/3/2021,21.0,2.356,SE,0.112,0.0,0.000,,0.0,0.000,,12.0,1.462,0.122,9.0,0.893,9.0,0.099,2.321,16.9,5.7,0.370,0.065,Control
172,210222_2,E3HN_F,E,Day3,3,MWM_150,3/3/2021,8.9,1.063,SE,0.120,0.0,0.000,,0.0,0.000,,3.3,0.635,0.192,5.5,0.428,3.3,0.077,0.989,4.8,0.0,0.000,,Control
173,210222_3,E3HN_M,F,Day3,3,MWM_150,3/3/2021,12.7,1.164,SE,0.091,0.0,0.000,,0.0,0.000,,7.1,0.845,0.119,5.7,0.319,7.1,0.056,1.128,8.7,0.0,0.000,,Control
174,210222_4,E3HN_M,F,Day3,3,MWM_150,3/3/2021,9.7,1.091,SE,0.113,0.0,0.000,,0.0,0.000,,4.1,0.731,0.178,5.6,0.360,4.1,0.065,1.058,5.6,0.0,0.000,,Control
175,210222_5,E3HN_M,F,Day3,3,MWM_150,3/3/2021,16.6,1.248,SE,0.075,0.0,0.000,,0.0,0.000,,10.6,0.858,0.081,5.9,0.390,10.6,0.066,1.215,12.5,0.0,0.000,,Control
176,210222_6,E3HN_M,F,Day3,3,MWM_150,3/3/2021,15.3,1.171,SE,0.076,0.0,0.000,,0.0,0.000,,6.2,0.609,0.098,9.1,0.562,4.4,0.061,1.136,11.2,0.0,0.000,,Control
177,210222_7,E33_F,B,Day3,3,MWM_150,3/3/2021,8.8,0.895,SE,0.102,0.0,0.000,,0.0,0.000,,3.3,0.488,0.149,5.5,0.408,3.3,0.074,0.775,4.7,2.1,0.231,0.109,Control
178,210222_8,E33_F,B,Day3,3,MWM_150,3/3/2021,13.5,2.334,SE,0.173,0.0,0.000,,0.5,0.126,0.270,3.5,0.888,0.255,9.5,1.320,1.7,0.138,2.265,9.5,0.0,0.000,,Control
179,210222_9,E33_F,B,Day3,3,MWM_150,3/3/2021,24.6,4.458,SE,0.181,0.0,0.000,,0.0,0.000,,4.9,1.008,0.206,19.7,3.450,2.6,0.175,4.422,20.5,5.4,1.055,0.195,Control
180,210222_10,E33_F,B,Day3,3,MWM_150,3/3/2021,18.3,2.865,SE,0.157,2.7,0.623,0.234,1.9,0.401,0.215,6.3,1.191,0.190,7.4,0.650,3.8,0.087,2.826,14.2,0.0,0.000,,Control
181,210222_11,E33_F,B,Day3,3,MWM_150,3/3/2021,12.8,2.219,SE,0.173,0.0,0.000,,2.7,0.613,0.230,1.0,0.159,0.164,9.2,1.447,1.0,0.158,2.147,8.7,1.0,0.242,0.250,Control
182,210222_12,E33_F,B,Day3,3,MWM_150,3/3/2021,10.7,1.556,SE,0.145,0.0,0.000,,0.0,0.000,,5.3,1.170,0.219,5.4,0.386,5.3,0.071,1.484,6.7,0.0,0.000,,Control
183,210222_13,E33_M,A,Day3,3,MWM_150,3/3/2021,37.0,6.127,SE,0.165,4.9,0.877,0.180,3.7,0.798,0.216,13.6,2.408,0.177,14.9,2.044,6.3,0.137,5.942,33.0,2.1,0.372,0.180,Control
184,210222_14,E33_M,A,Day3,3,MWM_150,3/3/2021,8.1,0.820,SE,0.102,0.0,0.000,,0.0,0.000,,3.2,0.566,0.178,4.9,0.254,3.2,0.052,0.751,4.0,0.0,0.000,,Control
185,210222_15,E33_M,A,Day3,3,MWM_150,3/3/2021,8.3,0.923,SE,0.111,0.0,0.000,,0.0,0.000,,2.0,0.360,0.178,6.3,0.563,2.0,0.089,0.835,4.3,1.2,0.247,0.200,Control
186,210222_16,E22_M,C,Day3,3,MWM_150,3/3/2021,18.1,1.829,SE,0.101,0.0,0.000,,0.0,0.000,,10.9,1.225,0.112,7.1,0.605,10.9,0.085,1.718,14.0,3.9,0.544,0.141,Control
187,210222_17,E22_F,D,Day3,3,MWM_150,3/3/2021,12.7,1.077,SE,0.085,0.0,0.000,,0.0,0.000,,2.6,0.298,0.116,10.2,0.780,1.9,0.077,1.011,8.7,0.0,0.000,,Control
188,210222_1,E3HN_F,E,Day3,4,MWM_150,3/3/2021,9.7,0.397,NW,0.041,0.0,0.000,,2.3,0.148,0.063,0.0,0.000,,7.4,0.249,2.3,0.034,0.360,5.6,0.0,0.000,,Control
189,210222_2,E3HN_F,E,Day3,4,MWM_150,3/3/2021,5.3,0.119,SW,0.023,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.3,0.119,0.0,0.023,0.085,1.2,0.0,0.000,,Control
190,210222_3,E3HN_M,F,Day3,4,MWM_150,3/3/2021,12.0,1.399,SW,0.117,0.0,0.000,,1.7,0.115,0.066,0.0,0.000,,10.3,1.284,0.0,0.125,0.957,7.9,0.5,0.036,0.077,Control
191,210222_4,E3HN_M,F,Day3,4,MWM_150,3/3/2021,8.5,0.730,SW,0.086,0.0,0.000,,0.0,0.000,,0.0,0.000,,8.5,0.730,0.0,0.086,0.694,4.4,0.0,0.000,,Control
192,210222_5,E3HN_M,F,Day3,4,MWM_150,3/3/2021,10.5,0.712,SW,0.068,0.0,0.000,,0.0,0.000,,0.0,0.000,,10.5,0.712,0.0,0.068,0.672,6.4,0.0,0.000,,Control
193,210222_6,E3HN_M,F,Day3,4,MWM_150,3/3/2021,29.2,4.550,SE,0.156,1.6,0.344,0.210,5.5,0.804,0.146,8.4,1.417,0.169,13.7,1.986,1.4,0.145,4.509,25.2,0.2,0.000,0.000,Control
194,210222_7,E33_F,B,Day3,4,MWM_150,3/3/2021,16.5,2.756,SW,0.167,0.0,0.000,,1.8,0.407,0.231,0.0,0.000,,14.7,2.349,0.0,0.159,2.524,12.4,3.0,0.568,0.189,Control
195,210222_8,E33_F,B,Day3,4,MWM_150,3/3/2021,22.0,4.456,SW,0.202,0.8,0.176,0.229,1.4,0.374,0.261,4.3,1.035,0.242,15.6,2.872,0.0,0.185,4.338,17.9,0.2,0.056,0.240,Control
196,210222_9,E33_F,B,Day3,4,MWM_150,3/3/2021,11.0,1.599,SW,0.145,0.0,0.000,,0.0,0.000,,2.4,0.575,0.240,8.6,1.024,0.0,0.118,1.514,6.9,0.0,0.000,,Control
197,210222_10,E33_F,B,Day3,4,MWM_150,3/3/2021,20.3,3.204,SW,0.158,0.0,0.000,,3.3,0.595,0.178,2.1,0.383,0.180,14.8,2.226,0.0,0.150,3.132,16.3,0.0,0.000,,Control
198,210222_11,E33_F,B,Day3,4,MWM_150,3/3/2021,10.7,1.292,NW,0.121,0.0,0.000,,0.9,0.099,0.109,0.6,0.130,0.229,9.2,1.063,0.9,0.115,1.250,6.6,1.6,0.155,0.095,Control
199,210222_12,E33_F,B,Day3,4,MWM_150,3/3/2021,4.9,0.215,SW,0.043,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.9,0.215,0.0,0.043,0.076,0.9,0.0,0.000,,Control
