Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
412,210614_9,E3HN_M,C,Day4,2,MWM_150,6/24/21,27.8,2.999,0.108,10.3,1.184,0.115,0.5,0,0,7.4,1.064,0.144,5.5,0.665,0.121,2.914,23.7,8.3,0.784,0.094,HFD,M,12
413,210614_10,E3HN_M,C,Day4,2,MWM_150,6/24/21,37,5.573,0.15,5.5,1.114,0.203,13.8,1.738,0.126,4.6,1.142,0.248,9.1,1.535,0.169,5.53,33,14,3.171,0.227,HFD,M,12
414,210614_11,E3HN_M,C,Day4,2,MWM_150,6/24/21,42.5,6.395,0.15,5.6,1.15,0.204,23,3.143,0.136,4.5,1.049,0.233,5.2,0.965,0.184,6.308,38.4,12.2,2.566,0.21,HFD,M,12
415,210614_12,E3HN_M,C,Day4,2,MWM_150,6/24/21,28.1,3.305,0.118,16.1,1.954,0.121,2,0.089,0.046,0.9,0.27,0.3,5,0.907,0.181,3.22,24,4.1,0.438,0.106,HFD,M,12
416,210614_13,E3HN_F,A,Day4,2,MWM_150,6/24/21,7.1,0.414,0.058,0,0,,1.2,0.08,0.068,0,0,,1.9,0.298,0.16,0.378,3.1,1.1,0.08,0.076,HFD,F,12
417,210614_14,E3HN_F,A,Day4,2,MWM_150,6/24/21,11.3,2.11,0.187,0,0,,5.4,0.82,0.152,1,1.068,1.103,0.8,0.143,0.179,2.031,7.2,2.8,1.229,0.444,HFD,F,12
418,210614_15,E3HN_F,A,Day4,2,MWM_150,6/24/21,60,13.553,0.226,9.7,2.271,0.233,11.4,2.617,0.229,19.3,4.367,0.226,19.5,4.298,0.221,,,30.8,6.258,0.204,HFD,F,12
419,210614_16,E3HN_F,A,Day4,2,MWM_150,6/24/21,6.6,0.761,0.115,0,0,,1.4,0.193,0.137,0,0,,1.5,0.323,0.22,0.399,2.5,0,0,,HFD,F,12
420,210614_31,E3HN_F,A,Day4,2,MWM_150,6/24/21,60,11.669,0.194,14.8,2.715,0.183,9.8,2.063,0.211,19.4,3.699,0.191,15.7,3.192,0.203,11.123,56.4,31.2,6.009,0.193,HFD,F,12
421,210614_17,E3HN_F,A,Day4,2,MWM_150,6/24/21,14.1,1.572,0.112,0,0,,8.6,1.214,0.141,0,0,,1.4,0.287,0.205,1.501,10,2.6,0.162,0.062,Control,F,12
422,210614_18,E3HN_F,A,Day4,2,MWM_150,6/24/21,23.4,1.668,0.071,0.8,0.137,0.171,17.2,1.285,0.075,0,0,,1.3,0.247,0.19,1.668,19.3,0,0,,Control,F,12
423,210614_19,E3HN_F,A,Day4,2,MWM_150,6/24/21,16,2.229,0.139,0,0,,2.7,0.472,0.172,0,0,,9.2,1.716,0.186,2.188,11.9,1.2,0.18,0.15,Control,F,12
424,210614_20,E3HN_F,A,Day4,2,MWM_150,6/24/21,12.4,1.024,0.083,0,0,,7.2,0.796,0.11,0,0,,1.1,0.193,0.175,0.989,8.3,1.8,0.2,0.109,Control,F,12
425,210614_21,E3HN_M,C,Day4,2,MWM_150,6/24/21,36.4,5.86,0.161,3.8,0.896,0.238,16.2,2.403,0.148,4.7,0.955,0.202,7.6,1.531,0.201,5.784,32.3,5,0.917,0.185,Control,F,12
426,210614_22,E3HN_M,C,Day4,2,MWM_150,6/24/21,4.4,0.286,0.065,0,0,,0,0,,0,0,,0.9,0.104,0.116,0,0,0,0,,Control,M,12
427,210614_23,E3HN_M,C,Day4,2,MWM_150,6/24/21,41.9,6.422,0.153,2.3,0.375,0.165,3.8,0.47,0.125,12.1,1.951,0.161,19.7,3.556,0.18,6.352,37.9,7.6,1.133,0.149,Control,M,12
428,210614_24,E3HN_M,C,Day4,2,MWM_150,6/24/21,32.8,6.078,0.185,4.4,0.334,0.077,6.3,0.95,0.151,7.5,1.668,0.222,14.6,3.125,0.215,5.397,28.7,2.6,0.311,0.12,Control,M,12
429,210614_25,E3HN_M,C,Day4,2,MWM_150,6/24/21,60,13.126,0.219,13.3,3.095,0.233,14.4,3.097,0.215,13,2.865,0.22,19.3,4.069,0.211,,,38.7,7.942,0.205,Control,M,12
430,210614_26,E3HN_M,C,Day4,2,MWM_150,6/24/21,10.9,1.525,0.14,1.3,0.229,0.176,4.7,0.989,0.209,0,0,,0.8,0.227,0.284,1.445,6.8,0,0,,Control,M,12
431,210614_27,E3HN_M,C,Day4,2,MWM_150,6/24/21,16.1,2.496,0.155,0.6,0.153,0.27,4.3,0.838,0.196,0.7,0.147,0.2,6.4,1.325,0.206,2.462,12,0,0,,Control,M,12
432,210614_28,E3HN_M,C,Day4,2,MWM_150,6/24/21,18,1.315,0.073,0,0,,12.6,1.128,0.09,0,0,,1.4,0.151,0.111,1.28,13.9,1.3,0.247,0.195,Control,M,12
433,210614_29,E3HN_M,C,Day4,2,MWM_150,6/24/21,14.1,2.007,0.142,0,0,,3,0.664,0.219,0,0,,7,1.297,0.185,1.96,10,1.9,0.251,0.132,Control,M,12
434,210614_30,E3HN_M,C,Day4,2,MWM_150,6/24/21,38.5,5.149,0.134,3,0.643,0.212,15.9,1.549,0.097,4.9,0.967,0.197,10.6,1.916,0.181,5.074,34.5,4.3,0.304,0.071,Control,M,12
435,210614_1,E3HN_M,C,Day4,3,MWM_150,6/24/21,60,8.716,0.145,30.1,3.565,0.118,10.7,1.847,0.173,13.1,2.23,0.17,6.1,1.074,0.175,,,33.8,3.372,0.1,HFD,F,12
436,210614_2,E2HN_F,D,Day4,3,MWM_150,6/24/21,23,2.913,0.127,7.6,0.634,0.083,0,0,,3.4,0.836,0.248,7.9,1.367,0.172,2.837,18.9,8.2,0.691,0.085,HFD,F,12
437,210614_3,E2HN_F,D,Day4,3,MWM_150,6/24/21,17.5,2.507,0.143,8,1.228,0.153,4.2,0.842,0.2,0,0,,1.9,0.32,0.168,2.356,13.4,3.4,0.335,0.099,HFD,F,12
438,210614_4,E2HN_F,D,Day4,3,MWM_150,6/24/21,13.5,1.886,0.14,3.6,0.54,0.15,0,0,,2.3,0.47,0.204,3.5,0.793,0.224,1.804,9.4,0,0,,HFD,F,12
439,210614_5,E2HN_F,D,Day4,3,MWM_150,6/24/21,22.3,3.712,0.167,4.2,0.907,0.214,0,0,,5.7,1.034,0.183,8.5,1.29,0.152,3.168,18.2,0,0,,HFD,F,12
440,210614_6,E2HN_M,B,Day4,3,MWM_150,6/24/21,23.8,3.239,0.136,5.4,0.703,0.131,10.5,1.891,0.18,0,0,,3.9,0.611,0.158,3.205,19.7,0.8,0.071,0.093,HFD,M,12
441,210614_7,E2HN_M,B,Day4,3,MWM_150,6/24/21,9.9,1.266,0.128,3.1,0.639,0.209,0,0,,1.2,0.249,0.214,1.6,0.336,0.21,1.225,5.8,1.1,0.137,0.121,HFD,M,12
442,210614_8,E3HN_M,C,Day4,3,MWM_150,6/24/21,60,8.062,0.134,7.5,1.124,0.149,21.6,2.976,0.138,12.1,1.642,0.135,14.9,2.286,0.153,8.028,56.2,19.6,1.783,0.091,HFD,M,12
443,210614_9,E3HN_M,C,Day4,3,MWM_150,6/24/21,17.1,1.44,0.084,8.1,0.589,0.073,2.8,0.549,0.196,0,0,,2.2,0.219,0.101,1.357,13,0,0,,HFD,M,12
444,210614_10,E3HN_M,C,Day4,3,MWM_150,6/24/21,34.3,3.999,0.117,18.5,2.088,0.113,7.4,1.128,0.152,0,0,,4.3,0.703,0.162,3.919,30.3,3.1,0.416,0.133,HFD,M,12
445,210614_11,E3HN_M,C,Day4,3,MWM_150,6/24/21,28.8,3.089,0.107,10.5,0.573,0.054,0,0,,8.3,1.386,0.168,5.9,1,0.17,2.96,24.7,6,0.138,0.023,HFD,M,12
446,210614_12,E3HN_M,C,Day4,3,MWM_150,6/24/21,60,11.068,0.184,24.3,3.756,0.155,8.1,1.909,0.236,13.6,2.601,0.191,14,2.801,0.2,,,34.4,6.819,0.198,HFD,M,12
447,210614_13,E3HN_F,A,Day4,3,MWM_150,6/24/21,60,11.914,0.199,22.4,3.789,0.169,5,0.975,0.195,24.9,5.484,0.22,7.7,1.666,0.216,,,28,4.994,0.179,HFD,F,12
448,210614_14,E3HN_F,A,Day4,3,MWM_150,6/24/21,60,10.437,0.174,1.3,0.185,0.142,4,0.538,0.133,24,3.766,0.157,30.7,5.947,0.194,,,10,1.736,0.173,HFD,F,12
