Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
139,200302_11,APOE22M,B,Day4,2,MWM_150,3/5/2020,3.8,0.474,0.124,0.0,0.000,,1.2,0.260,0.211,0.0,0.000,,2.6,0.214,0.082,0.394,1.8,0.0,0.000,,Control
140,200302_12,APOE22M,B,Day4,2,MWM_150,3/5/2020,32.0,4.862,0.152,2.7,0.641,0.237,14.8,0.983,0.066,3.0,0.881,0.290,11.4,2.357,0.207,4.458,29.9,3.6,0.834,0.232,Control
141,200302_3,APOE22M,B,Day4,3,MWM_150,3/5/2020,46.2,7.093,0.153,7.2,1.231,0.170,11.4,1.806,0.158,11.5,1.871,0.163,16.1,2.186,0.136,7.059,44.1,0.8,0.193,0.242,Control
142,200302_4,APOE22M,B,Day4,3,MWM_150,3/5/2020,25.8,2.222,0.086,15.4,0.642,0.042,0.0,0.000,,0.3,0.108,0.323,10.0,1.472,0.147,2.111,23.7,2.1,0.280,0.131,Control
143,200302_5,APOE22M,B,Day4,3,MWM_150,3/5/2020,7.8,1.472,0.188,3.6,0.523,0.144,1.4,0.386,0.283,0.0,0.000,,2.8,0.563,0.200,1.133,5.8,0.0,0.000,,Control
144,200302_6,APOE22F,A,Day4,3,MWM_150,3/5/2020,27.5,3.303,0.120,3.1,0.492,0.160,8.2,0.508,0.062,5.4,0.763,0.142,10.9,1.540,0.142,3.270,25.5,0.0,0.000,,Control
145,200302_7,APOE22F,A,Day4,3,MWM_150,3/5/2020,23.2,2.218,0.096,9.4,0.829,0.089,0.5,0.190,0.407,1.5,0.034,0.022,11.8,1.165,0.098,2.184,21.1,0.0,0.000,,Control
146,200302_8,APOE22F,A,Day4,3,MWM_150,3/5/2020,14.3,2.141,0.149,4.3,0.765,0.178,0.0,0.000,,0.0,0.000,0.000,10.0,1.375,0.137,2.063,12.3,0.0,0.000,,Control
147,200302_9,APOE22F,A,Day4,3,MWM_150,3/5/2020,60.0,12.172,0.203,17.7,3.148,0.178,17.8,3.400,0.191,11.6,2.675,0.231,12.9,2.950,0.229,,,8.0,1.780,0.222,Control
148,200302_10,APOE22M,B,Day4,3,MWM_150,3/5/2020,36.5,5.631,0.154,12.2,1.483,0.122,6.0,1.168,0.194,8.7,1.880,0.217,9.6,1.100,0.114,5.554,34.4,5.8,0.728,0.125,Control
149,200302_11,APOE22M,B,Day4,3,MWM_150,3/5/2020,5.5,0.857,0.157,1.4,0.335,0.233,0.0,0.000,,0.1,0.045,0.339,3.9,0.477,0.122,0.789,3.4,0.0,0.000,,Control
150,200302_12,APOE22M,B,Day4,3,MWM_150,3/5/2020,34.0,4.846,0.142,15.4,1.657,0.107,2.7,0.710,0.260,3.3,0.761,0.231,12.5,1.718,0.137,4.405,32.0,0.6,0.125,0.220,Control
151,200302_3,APOE22M,B,Day4,4,MWM_150,3/5/2020,36.8,4.568,0.124,7.9,1.409,0.179,8.2,1.485,0.181,1.7,0.193,0.113,19.0,1.482,0.078,4.463,34.7,8.4,1.023,0.121,Control
152,200302_4,APOE22M,B,Day4,4,MWM_150,3/5/2020,14.3,1.154,0.081,0.0,0.000,,0.0,0.000,,0.0,0.000,,14.3,1.154,0.081,1.079,12.2,2.0,0.478,0.235,Control
153,200302_5,APOE22M,B,Day4,4,MWM_150,3/5/2020,8.9,0.752,0.084,0.0,0.000,,0.0,0.000,,1.7,0.152,0.090,7.2,0.600,0.083,0.610,6.9,0.0,0.000,,Control
154,200302_6,APOE22F,A,Day4,4,MWM_150,3/5/2020,16.2,0.842,0.052,0.0,0.000,,0.0,0.000,,0.0,0.000,,16.2,0.842,0.052,0.775,14.2,0.0,0.000,,Control
155,200302_7,APOE22F,A,Day4,4,MWM_150,3/5/2020,19.9,1.936,0.097,8.2,0.586,0.071,2.4,0.573,0.239,2.0,0.156,0.078,7.3,0.621,0.086,1.865,17.8,0.0,0.000,,Control
156,200302_8,APOE22F,A,Day4,4,MWM_150,3/5/2020,4.5,0.494,0.110,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.5,0.494,0.110,0.387,2.5,0.0,0.000,,Control
157,200302_9,APOE22F,A,Day4,4,MWM_150,3/5/2020,13.4,1.364,0.102,0.0,0.000,,0.0,0.000,,0.9,0.036,0.041,12.5,1.328,0.106,1.293,11.3,0.0,0.000,,Control
158,200302_10,APOE22M,B,Day4,4,MWM_150,3/5/2020,15.2,3.287,0.217,2.6,0.685,0.263,2.1,0.521,0.248,2.8,0.749,0.271,7.7,1.333,0.173,3.209,13.1,0.0,0.000,,Control
159,200302_11,APOE22M,B,Day4,4,MWM_150,3/5/2020,4.1,0.214,0.053,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.1,0.214,0.053,0.141,2.0,0.0,0.000,,Control
160,200302_12,APOE22M,B,Day4,4,MWM_150,3/5/2020,60.0,11.141,0.186,7.9,1.587,0.202,10.5,2.395,0.228,15.0,3.239,0.216,26.6,3.919,0.147,,,16.5,3.206,0.194,Control
161,200302_3,APOE22M,B,Day5,1,MWM_150,3/6/2020,25.1,2.591,0.103,2.6,0.373,0.145,0.0,0.000,,2.9,0.602,0.210,19.7,1.616,0.082,2.517,23.1,0.0,0.000,,Control
162,200302_4,APOE22M,B,Day5,1,MWM_150,3/6/2020,18.3,2.147,0.117,0.0,0.000,,0.0,0.000,,1.9,0.378,0.199,16.4,1.769,0.108,2.077,16.3,2.0,0.276,0.136,Control
163,200302_5,APOE22M,B,Day5,1,MWM_150,3/6/2020,6.8,0.983,0.144,0.4,0.092,0.212,1.2,0.305,0.254,1.1,0.199,0.181,4.1,0.388,0.094,0.909,4.8,0.0,0.000,,Control
