Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
73,190909_1,HN_M,B,Day4,1,MWM_150,9/12/2019,60.0,12.414,0.207,10.6,2.536,0.238,17.9,3.727,0.208,12.5,2.316,0.185,17.0,3.449,0.203,,,14.7,2.887,0.196,Control
74,190909_2,APOE33_M,C,Day4,1,MWM_150,9/12/2019,16.9,2.488,0.147,6.3,1.202,0.191,6.2,1.022,0.165,0.5,0.038,0.078,3.9,0.226,0.058,2.444,14.9,1.6,0.215,0.138,Control
75,190909_3,APOE33_F,A,Day4,1,MWM_150,9/12/2019,16.0,2.535,0.159,0.0,0.000,,0.0,0.000,,9.0,1.541,0.171,7.0,0.994,0.143,2.468,13.9,2.9,0.242,0.085,Control
76,190909_4,APOE33_F,A,Day4,1,MWM_150,9/12/2019,12.1,1.393,0.115,0.0,0.000,,0.0,0.000,,4.8,0.711,0.150,7.3,0.682,0.093,1.320,10.0,1.5,0.275,0.187,Control
77,190909_8,APOE33_M,C,Day4,1,MWM_150,9/12/2019,60.0,13.166,0.219,19.8,4.431,0.224,5.2,1.258,0.243,23.3,4.818,0.207,10.4,2.483,0.238,,,18.5,3.500,0.190,Control
78,190909_9,APOE33_F,A,Day4,1,MWM_150,9/12/2019,47.8,8.032,0.168,21.0,3.355,0.159,5.2,0.971,0.187,13.4,2.673,0.199,8.1,1.032,0.127,7.922,45.7,1.3,0.149,0.118,Control
79,190909_1,HN_M,B,Day4,2,MWM_150,9/12/2019,60.0,11.928,0.199,12.4,2.588,0.208,18.6,3.070,0.165,15.6,3.242,0.208,12.6,2.985,0.236,,,15.1,2.773,0.183,Control
80,190909_2,APOE33_M,C,Day4,2,MWM_150,9/12/2019,5.8,0.756,0.131,0.0,0.000,,2.8,0.463,0.168,0.0,0.000,,3.0,0.294,0.097,0.647,3.7,0.0,0.000,,Control
81,190909_3,APOE33_F,A,Day4,2,MWM_150,9/12/2019,6.4,0.581,0.091,0.0,0.000,,3.4,0.291,0.087,0.0,0.000,,3.1,0.290,0.095,0.504,4.4,0.0,0.000,,Control
82,190909_4,APOE33_F,A,Day4,2,MWM_150,9/12/2019,10.4,2.073,0.200,0.6,0.075,0.126,0.0,0.000,,5.3,1.185,0.225,4.5,0.813,0.179,1.722,8.3,0.0,0.000,,Control
83,190909_8,APOE33_M,C,Day4,2,MWM_150,9/12/2019,6.9,0.796,0.115,0.0,0.000,,3.1,0.475,0.154,0.0,0.000,,3.8,0.322,0.084,0.763,4.8,0.0,0.000,,Control
84,190909_9,APOE33_F,A,Day4,2,MWM_150,9/12/2019,54.1,8.946,0.165,4.6,0.848,0.184,19.4,3.482,0.179,6.4,1.086,0.171,23.7,3.529,0.149,8.912,52.1,1.2,0.199,0.165,Control
85,190909_1,HN_M,B,Day4,3,MWM_150,9/12/2019,44.3,6.684,0.151,12.5,1.973,0.158,5.8,1.146,0.198,13.6,2.595,0.191,5.0,0.435,0.087,6.648,42.2,21.0,3.771,0.179,Control
86,190909_2,APOE33_M,C,Day4,3,MWM_150,9/12/2019,5.9,0.881,0.149,0.7,0.101,0.145,2.1,0.582,0.282,0.0,0.000,,3.1,0.198,0.063,0.847,3.9,0.0,0.000,,Control
87,190909_3,APOE33_F,A,Day4,3,MWM_150,9/12/2019,60.0,11.106,0.185,19.8,3.514,0.178,16.9,2.706,0.160,8.8,1.804,0.205,14.5,3.082,0.212,,,9.5,1.575,0.166,Control
88,190909_4,APOE33_F,A,Day4,3,MWM_150,9/12/2019,26.4,5.406,0.205,12.0,2.732,0.228,3.7,0.856,0.234,7.8,1.603,0.206,2.8,0.215,0.076,5.335,24.3,5.1,1.057,0.205,Control
89,190909_8,APOE33_M,C,Day4,3,MWM_150,9/12/2019,60.0,13.256,0.221,21.8,4.370,0.201,4.9,0.911,0.186,17.2,4.118,0.240,13.3,3.073,0.231,,,19.4,4.054,0.209,Control
90,190909_9,APOE33_F,A,Day4,3,MWM_150,9/12/2019,29.4,4.562,0.155,10.2,1.629,0.160,3.2,0.582,0.184,11.0,1.931,0.176,5.0,0.420,0.084,4.495,27.3,5.0,0.598,0.120,Control
91,190909_1,HN_M,B,Day4,4,MWM_150,9/12/2019,52.3,9.094,0.174,10.9,2.561,0.236,9.4,2.260,0.240,11.8,2.416,0.205,20.2,1.857,0.092,9.056,50.2,13.3,2.516,0.189,Control
92,190909_2,APOE33_M,C,Day4,4,MWM_150,9/12/2019,16.2,3.275,0.202,1.7,0.444,0.266,5.6,1.283,0.231,2.2,0.546,0.252,6.8,1.003,0.147,3.206,14.1,0.0,0.000,,Control
93,190909_3,APOE33_F,A,Day4,4,MWM_150,9/12/2019,2.4,0.071,0.030,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.071,0.030,0.000,0.0,0.0,0.000,,Control
94,190909_4,APOE33_F,A,Day4,4,MWM_150,9/12/2019,11.5,1.180,0.102,0.0,0.000,,0.0,0.000,,4.0,0.376,0.094,7.5,0.804,0.107,1.064,9.5,0.0,0.000,,Control
95,190909_8,APOE33_M,C,Day4,4,MWM_150,9/12/2019,15.3,3.241,0.212,3.0,0.698,0.235,0.0,0.000,,6.6,1.590,0.241,5.7,0.953,0.168,3.169,13.2,0.0,0.000,,Control
96,190909_9,APOE33_F,A,Day4,4,MWM_150,9/12/2019,25.7,2.673,0.104,0.0,0.000,,0.5,0.068,0.146,6.5,0.786,0.122,18.8,1.819,0.097,2.626,23.6,2.1,0.200,0.095,Control
97,190909_1,HN_M,B,Day5,1,MWM_150,9/13/2019,4.6,0.292,0.063,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.6,0.292,0.063,0.256,2.6,1.4,0.170,0.119,Control
98,190909_2,APOE33_M,C,Day5,1,MWM_150,9/13/2019,2.4,0.000,0.000,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.000,0.000,0.000,0.0,0.0,0.000,,Control
99,190909_3,APOE33_F,A,Day5,1,MWM_150,9/13/2019,4.7,0.564,0.119,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.7,0.564,0.119,0.245,2.6,0.0,0.000,,Control
100,190909_4,APOE33_F,A,Day5,1,MWM_150,9/13/2019,60.0,12.526,0.209,4.9,1.028,0.210,19.9,3.749,0.189,18.4,3.773,0.205,16.8,3.976,0.237,,,7.4,1.701,0.229,Control
101,190909_8,APOE33_M,C,Day5,1,MWM_150,9/13/2019,2.6,0.139,0.055,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.6,0.139,0.055,0.038,0.5,0.0,0.000,,Control
102,190909_9,APOE33_F,A,Day5,1,MWM_150,9/13/2019,26.7,3.594,0.135,5.4,0.698,0.129,2.6,0.387,0.147,8.9,1.482,0.167,9.8,1.028,0.105,3.519,24.7,1.2,0.115,0.093,Control
103,190909_1,HN_M,B,Day5,2,MWM_150,9/13/2019,60.0,12.178,0.203,10.5,2.498,0.237,9.7,2.324,0.240,24.0,4.321,0.180,15.0,2.844,0.189,,,21.5,4.695,0.218,Control
104,190909_2,APOE33_M,C,Day5,2,MWM_150,9/13/2019,10.2,2.089,0.204,2.7,0.721,0.267,2.0,0.539,0.270,2.6,0.621,0.240,3.0,0.208,0.070,2.047,8.2,2.0,0.452,0.224,Control
105,190909_3,APOE33_F,A,Day5,2,MWM_150,9/13/2019,30.3,4.883,0.161,0.0,0.000,,0.0,0.000,,20.8,3.461,0.166,9.4,1.423,0.151,4.814,28.2,2.8,0.280,0.100,Control
106,190909_4,APOE33_F,A,Day5,2,MWM_150,9/13/2019,56.3,12.198,0.217,15.2,3.450,0.227,7.7,1.665,0.215,23.6,5.194,0.220,9.7,1.888,0.195,12.162,54.2,2.1,0.437,0.208,Control
107,190909_8,APOE33_M,C,Day5,2,MWM_150,9/13/2019,38.7,9.260,0.239,6.3,1.769,0.281,4.2,1.121,0.269,17.2,4.079,0.237,11.0,2.291,0.208,9.184,36.6,4.3,0.897,0.209,Control
108,190909_9,APOE33_F,A,Day5,2,MWM_150,9/13/2019,18.7,1.788,0.096,0.0,0.000,,0.0,0.000,,6.5,0.698,0.108,12.2,1.090,0.089,1.746,16.7,1.8,0.165,0.090,Control
109,190909_1,HN_M,B,Day5,3,MWM_150,9/13/2019,60.0,10.830,0.180,10.2,2.297,0.225,21.8,3.319,0.152,10.3,2.024,0.196,16.5,3.156,0.192,,,17.7,2.976,0.168,Control
110,190909_2,APOE33_M,C,Day5,3,MWM_150,9/13/2019,4.6,0.582,0.127,0.0,0.000,,1.9,0.423,0.228,0.0,0.000,,2.7,0.159,0.058,0.582,2.5,0.0,0.000,,Control
111,190909_3,APOE33_F,A,Day5,3,MWM_150,9/13/2019,28.5,4.396,0.154,0.0,0.000,,17.4,2.506,0.144,2.0,0.308,0.157,9.1,1.582,0.173,4.358,26.5,1.9,0.132,0.071,Control
112,190909_4,APOE33_F,A,Day5,3,MWM_150,9/13/2019,5.8,0.676,0.117,0.0,0.000,,1.4,0.228,0.160,0.0,0.000,,4.4,0.447,0.102,0.602,3.7,0.0,0.000,,Control
113,190909_8,APOE33_M,C,Day5,3,MWM_150,9/13/2019,40.7,9.505,0.233,3.9,1.010,0.261,18.2,4.596,0.252,4.1,1.124,0.272,14.5,2.774,0.191,9.469,38.7,4.9,0.960,0.195,Control
114,190909_9,APOE33_F,A,Day5,3,MWM_150,9/13/2019,48.5,7.272,0.150,6.8,1.092,0.161,14.2,1.944,0.137,13.7,2.211,0.162,13.9,2.025,0.146,7.205,46.4,1.7,0.276,0.159,Control
115,190909_1,HN_M,B,Day5,4,MWM_150,9/13/2019,60.0,11.214,0.187,23.3,3.339,0.143,13.5,2.925,0.216,9.4,2.143,0.227,12.8,2.620,0.205,,,29.0,5.681,0.196,Control
116,190909_2,APOE33_M,C,Day5,4,MWM_150,9/13/2019,9.5,1.617,0.170,0.0,0.000,,1.8,0.395,0.221,1.2,0.215,0.179,6.5,1.007,0.154,1.583,7.4,0.0,0.000,,Control
117,190909_3,APOE33_F,A,Day5,4,MWM_150,9/13/2019,24.9,4.008,0.161,1.1,0.075,0.066,0.0,0.000,,15.6,2.973,0.191,8.2,0.961,0.118,3.964,22.8,3.7,0.629,0.170,Control
118,190909_4,APOE33_F,A,Day5,4,MWM_150,9/13/2019,21.3,4.239,0.199,0.1,0.040,0.297,2.8,0.619,0.221,9.2,1.891,0.205,9.1,1.690,0.186,4.169,19.2,2.5,0.528,0.211,Control
119,190909_8,APOE33_M,C,Day5,4,MWM_150,9/13/2019,47.9,12.055,0.252,11.6,3.156,0.272,14.6,3.571,0.245,7.6,2.353,0.311,14.1,2.974,0.210,11.985,45.8,4.5,0.783,0.174,Control
120,190909_9,APOE33_F,A,Day5,4,MWM_150,9/13/2019,23.1,3.257,0.141,5.4,0.911,0.170,3.3,0.478,0.146,3.7,0.680,0.185,10.8,1.189,0.110,3.223,21.1,0.0,0.000,,Control
121,190909_1,HN_M,B,Probe_D5,1,MWM_150,9/13/2019,60.0,9.395,0.157,9.5,1.717,0.181,3.7,0.751,0.205,31.2,5.054,0.162,14.9,1.801,0.121,,,17.6,2.334,0.133,Control
122,190909_2,APOE33_M,C,Probe_D5,1,MWM_150,9/13/2019,60.0,13.347,0.222,6.2,1.506,0.243,5.9,1.322,0.223,25.7,5.653,0.220,22.2,4.865,0.219,3.611,15.7,7.0,1.052,0.150,Control
