Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
330,211004_14,E4HN_M,B,Probe_D5,1,MWM_150,10/15/21,60,9.889,0.165,9.6,1.629,0.169,6.4,1.095,0.17,9.3,1.716,0.184,34.6,5.449,0.157,1.658,13.8,3.4,0.538,0.16,HFD,M,12
331,211004_15,E4HN_M,B,Probe_D5,1,MWM_150,10/15/21,60,9.882,0.165,8.6,1.269,0.147,5.9,0.643,0.109,13.6,2.446,0.179,31.8,5.523,0.174,1.502,12.3,2.4,0.11,0.046,HFD,M,12
332,211004_16,E4HN_M,B,Probe_D5,1,MWM_150,10/15/21,60,11.329,0.189,9.8,1.758,0.18,7.1,1.292,0.182,22,4.286,0.195,21.1,3.993,0.189,,,7.2,1.312,0.181,HFD,M,12
333,211004_17,E4HN_M,B,Probe_D5,1,MWM_150,10/15/21,60,9.979,0.166,28.5,4.294,0.151,11.5,2.052,0.179,15,2.605,0.174,5.1,1.028,0.203,,,28.5,3.939,0.138,HFD,M,12
334,211004_19,E44_M,A,Probe_D5,1,MWM_150,10/15/21,60,11.865,0.198,3.4,0.718,0.213,10.5,1.915,0.183,15.9,3.367,0.212,30.3,5.865,0.194,1.065,4.2,4.7,0.874,0.185,Control,M,18
335,211004_20,E44_F,A,Probe_D5,1,MWM_150,10/15/21,60,10.325,0.172,6.5,1.078,0.166,4.5,0.932,0.209,12,1.993,0.166,37.1,6.321,0.171,1.117,6.6,1.1,0.137,0.125,Control,F,18
336,211004_21,E4HN_M,B,Probe_D5,1,MWM_150,10/15/21,60,10.012,0.167,6.4,0.986,0.153,17.1,2.675,0.157,7.6,1.567,0.207,28.9,4.784,0.165,3.515,27.5,2.2,0.455,0.207,Control,M,18
337,211004_1,E33_M,C,Probe_D8,1,MWM_150,10/18/21,60,12.618,0.21,10.5,1.969,0.188,12.9,2.614,0.202,9.4,2.201,0.235,27.2,5.833,0.214,1.684,8,1.7,0.404,0.235,Control,M,12
338,211004_2,E33_M,C,Probe_D8,1,MWM_150,10/18/21,60,12.962,0.216,6.5,1.535,0.235,16.5,3.659,0.222,10.5,2.448,0.233,26.5,5.32,0.201,1.968,9,8.1,1.925,0.238,Control,M,12
339,211004_3,E33_M,C,Probe_D8,1,MWM_150,10/18/21,60,11.792,0.197,7.3,1.263,0.174,3.5,0.67,0.19,16.4,3.302,0.201,32.8,6.557,0.2,0.893,4.4,13.3,1.773,0.134,Control,M,12
340,211004_5,E33_F,C,Probe_D8,1,MWM_150,10/18/21,60,11.149,0.186,3.5,0.617,0.178,13.4,2.225,0.166,11.3,2.092,0.185,31.9,6.216,0.195,1.681,9.4,4.2,0.538,0.128,HFD,F,12
341,211004_9,E33_F,C,Probe_D8,1,MWM_150,10/18/21,60,11.775,0.196,5.1,1.001,0.196,0,0,,20.2,4.712,0.234,34.7,6.062,0.175,3.944,17.3,14,2.32,0.165,HFD,F,12
342,211004_10,E4HN_F,B,Probe_D8,1,MWM_150,10/18/21,60,11.674,0.195,3.4,0.674,0.199,0.9,0.243,0.261,23.9,4.84,0.202,31.8,5.917,0.186,0.903,3.9,12.6,2.099,0.166,Control,F,12
343,211004_11,E4HN_F,B,Probe_D8,1,MWM_150,10/18/21,60,11.141,0.186,18.9,2.304,0.122,8.4,1.816,0.217,19.8,4.005,0.203,13,3.016,0.233,7.424,43,12.7,2.252,0.177,Control,F,12
344,211004_12,E4HN_F,B,Probe_D8,1,MWM_150,10/18/21,60,10.284,0.171,24.2,3.364,0.139,12.5,2.309,0.184,6.8,1.672,0.248,16.5,2.938,0.178,2.857,25,4.3,0.835,0.193,Control,F,12
345,211004_13,E4HN_F,B,Probe_D8,1,MWM_150,10/18/21,60,10.058,0.168,25.2,2.522,0.1,9,2.04,0.226,16,3.328,0.208,9.7,2.168,0.223,3.84,33.2,5,0.695,0.139,Control,F,12
346,211004_14,E4HN_M,B,Probe_D8,1,MWM_150,10/18/21,60,10.838,0.181,13.3,2.248,0.169,12.9,2.579,0.199,15,2.515,0.168,18.8,3.496,0.186,6.5,36.3,11.2,0.928,0.083,HFD,M,12
347,211004_15,E4HN_M,B,Probe_D8,1,MWM_150,10/18/21,60,10.843,0.181,8.4,1.669,0.198,9.3,1.634,0.176,14.9,2.933,0.196,27.3,4.607,0.169,1.402,8.9,8.4,1.194,0.142,HFD,M,12
348,211004_16,E4HN_M,B,Probe_D8,1,MWM_150,10/18/21,60,11.127,0.185,10.5,1.771,0.168,10.6,2.125,0.201,22.3,4.38,0.196,16.6,2.851,0.172,6.424,33.7,9.2,0.917,0.1,HFD,M,12
349,211004_17,E4HN_M,B,Probe_D8,1,MWM_150,10/18/21,60,10.856,0.181,27.9,4.303,0.154,27.8,5.59,0.201,2.7,0.613,0.23,1.6,0.35,0.214,,,12.8,2.23,0.174,HFD,M,12
350,211004_19,E44_M,A,Probe_D8,1,MWM_150,10/18/21,60,10.826,0.18,17.6,3.059,0.174,4.6,0.734,0.161,21.2,3.967,0.187,16.6,3.066,0.184,,,6.5,0.537,0.082,Control,M,18
351,211004_20,E44_F,A,Probe_D8,1,MWM_150,10/18/21,60,11.638,0.194,16.2,3.031,0.187,8.9,1.945,0.218,12.6,2.695,0.213,22.3,3.967,0.178,1.06,6.6,14,2.4,0.171,Control,F,18
352,211004_21,E4HN_M,B,Probe_D8,1,MWM_150,10/18/21,60,10.441,0.174,17.4,3.082,0.178,8.2,1.782,0.217,10.3,1.824,0.177,24.1,3.754,0.155,1.764,13.6,7.8,1.361,0.174,Control,M,18
