Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
357,221101-21,E4HN_F_6mo_Control,F,Day4,3,MWM_150,11/10/22,37.9,5.752,0.152,3.2,0.623,0.197,0.2,0.058,0.29,11.8,2.118,0.18,22.8,2.953,0.13,5.671,33.8,4.8,0.521,0.108,Control,Female,6,E4HN
358,221101-22,E4HN_F_6mo_Control,F,Day4,3,MWM_150,11/10/22,60,9.156,0.153,24,3.555,0.148,16.5,2.493,0.151,3.2,0.765,0.237,16.3,2.342,0.144,,,10.6,1.293,0.122,Control,Female,6,E4HN
359,221101-23,E4HN_F_6mo_Control,F,Day4,3,MWM_150,11/10/22,12.1,1.143,0.094,3.2,0.624,0.195,0,0,,0.1,0.054,0.811,8.8,0.465,0.053,1.03,8.1,0,0,,Control,Female,6,E4HN
360,221101-24,E4HN_F_6mo_Control,F,Day4,3,MWM_150,11/10/22,60,11.306,0.188,19.4,3.033,0.156,7,1.185,0.169,18,4.183,0.233,15.6,2.905,0.186,,,8.2,1.233,0.151,Control,Female,6,E4HN
361,221101-1,E44_M_12mo_HFD,C,Day4,4,MWM_150,11/10/22,12.7,1.768,0.139,0,0,,2.4,0.466,0.197,0,0,,10.4,1.302,0.126,1.678,8.7,1,0.158,0.153,HFD,Male,12,E44
362,221101-2,E44_M_12mo_HFD,C,Day4,4,MWM_150,11/10/22,4.9,0.093,0.019,0,0,,0,0,,0,0,,4.9,0.093,0.019,0.093,0.9,0,0,,HFD,Male,12,E44
363,221101-3,E4HN_M_18mo_HFD,D,Day4,4,MWM_150,11/10/22,16.4,1.692,0.103,0,0,,0,0,,4.4,0.479,0.109,12,1.213,0.101,1.594,12.3,5.7,0.465,0.082,HFD,Male,18,E4HN
364,221101-4,E4HN_F_18mo_HFD,B,Day4,4,MWM_150,11/10/22,16.4,1.035,0.063,0,0,,7.1,0.492,0.069,0,0,,9.3,0.543,0.058,0.993,12.4,0,0,,HFD,Female,18,E4HN
365,221101-5,E4HN_M_6mo_Control,E,Day4,4,MWM_150,11/10/22,60,10.476,0.175,13,2.247,0.173,6.2,1.688,0.274,28.5,4.074,0.143,12.4,2.467,0.199,,,27,2.703,0.1,Control,Male,6,E4HN
366,221101-6,E4HN_M_6mo_Control,E,Day4,4,MWM_150,11/10/22,30,0.796,0.027,0,0,,0,0,,0,0,,30,0.796,0.027,0.756,25.9,0,0,,Control,Male,6,E4HN
