Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,First zone entered,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : latency to first entry,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
517,201012_24,E33_M,E,Day5,4,MWM_150,1/22/21,8,0.888,SE,0.11,0,0,,0,0,,1.9,0.443,0.232,6.1,0.445,1.9,0.072,0.847,4,0,0,,HFD
518,201012_25,E33_M,E,Day5,4,MWM_150,1/22/21,16.5,1.774,NE,0.107,4.2,0.617,0.148,3.5,0.535,0.153,0,0,,8.8,0.621,7.7,0.07,1.734,12.4,0,0,,HFD
519,201012_26,E33_M,E,Day5,4,MWM_150,1/22/21,7.9,0.747,NE,0.095,0.5,0,0,0,0,,0.5,0.175,0.376,6.9,0.572,0.9,0.082,0.702,3.8,0,0,,HFD
520,201012_27,E33_M,E,Day5,4,MWM_150,1/22/21,9.7,1.055,NE,0.109,2.2,0.322,0.143,0,0,,1.6,0.407,0.254,5.8,0.327,3.8,0.056,1.018,5.6,0,0,,HFD
521,201012_1,E4HN_M,D,Probe_D5,1,MWM_150,1/22/21,60,6.501,NE,0.108,17.8,1.586,0.089,5.5,0.563,0.103,9.1,1.412,0.155,27.6,2.939,21.4,0.107,2.607,27.7,7.7,0.255,0.033,HFD
522,201012_2,E4HN_M,D,Probe_D5,1,MWM_150,1/22/21,60,10.081,NE,0.168,3.3,0.364,0.109,9.7,1.786,0.185,17.2,3.138,0.182,29.8,4.793,1.6,0.161,0.975,8.8,9.2,1.463,0.159,HFD
523,201012_3,E4HN_M,D,Probe_D5,1,MWM_150,1/22/21,60,8.598,NE,0.143,2.5,0.32,0.129,16.4,2.064,0.126,13.4,2.364,0.177,27.8,3.85,6.5,0.139,5.697,42.1,2.9,0.296,0.102,HFD
524,201012_4,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,8.916,NE,0.149,5.2,1.024,0.196,18.9,2.979,0.158,6.9,1.323,0.193,29.1,3.59,6.6,0.124,1.463,11.4,6.1,0.338,0.055,HFD
525,201012_5,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,9.004,NE,0.15,4.1,0.614,0.151,8.2,1.315,0.161,7.5,1.015,0.135,40.3,6.06,5.8,0.151,1.828,11.6,2.9,0.332,0.113,HFD
526,201012_6,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,6.47,NE,0.108,10.7,0.544,0.051,0.3,0,0,12.3,1.801,0.146,36.7,4.126,13.3,0.112,2.048,21.3,2.6,0.24,0.094,HFD
527,201012_7,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,10.139,NE,0.169,9.9,1.456,0.147,7.5,1.407,0.187,10.4,2.033,0.196,32.1,5.243,7.3,0.163,,,3.9,0.142,0.036,HFD
528,201012_8,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,8.463,NE,0.141,8.9,1.135,0.128,2.4,0.41,0.173,11.7,1.831,0.157,37.1,5.087,10.1,0.137,3.802,26.8,6.4,0.636,0.099,HFD
529,201012_9,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,8.495,NE,0.142,4.5,0.525,0.116,8.1,1.425,0.175,5.8,0.95,0.163,41.5,5.595,6.2,0.135,1.495,13.7,3.3,0.267,0.082,HFD
530,201012_10,E4HN_F,F,Probe_D5,1,MWM_150,1/22/21,60,10.5,NE,0.175,7.7,1.251,0.162,12.5,1.897,0.151,16.6,3.025,0.182,23.1,4.327,2.1,0.187,1.81,10.1,9.4,1.454,0.155,HFD
531,201012_11,E3HN_F,A,Probe_D5,1,MWM_150,1/22/21,60,9.356,NE,0.156,5.5,0.584,0.106,3.3,0.306,0.093,14.3,2.19,0.153,36.9,6.275,8.2,0.17,3.902,28.2,1.5,0.201,0.131,HFD
532,201012_12,E3HN_F,A,Probe_D5,1,MWM_150,1/22/21,60,8.148,NE,0.136,8.8,0.855,0.097,6.9,1.116,0.163,9.5,1.479,0.155,34.8,4.699,11,0.135,1.633,13.2,7.2,0.671,0.093,HFD
533,201012_13,E3HN_M,C,Probe_D5,1,MWM_150,1/22/21,60,7.959,NE,0.133,5.9,0.581,0.098,15.7,2.129,0.136,4.1,0.481,0.118,34.4,4.768,10,0.139,3.421,30.3,2.7,0.287,0.108,HFD
534,201012_15,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,8.91,NE,0.149,3.2,0.621,0.194,7.1,1.038,0.147,3.4,0.507,0.151,46.4,6.743,4.4,0.145,1.464,7.1,5.2,0.48,0.092,HFD
535,201012_16,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,10.453,NE,0.174,3.7,0.718,0.195,13.2,2.056,0.156,6.3,1.366,0.216,36.8,6.313,4.6,0.171,1.225,5.9,7.6,1.162,0.154,HFD
536,201012_17,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,11.009,SE,0.183,7,1.486,0.212,7.3,1.664,0.227,2.6,1.087,0.412,43,6.772,0.3,0.157,0.684,0.5,3.1,1.121,0.357,HFD
537,201012_18,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,11.236,NE,0.187,1.9,0.367,0.194,4,0.454,0.115,15.9,3.099,0.195,38.2,7.316,4,0.191,1.26,4.9,2.7,0.209,0.078,HFD
538,201012_19,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,11.241,NE,0.187,5,0.989,0.199,5.4,0.923,0.172,9.4,1.95,0.207,40.3,7.379,2.1,0.183,0.857,3.4,2.6,0.365,0.14,HFD
539,201012_20,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,11.559,SW,0.193,4.6,0.915,0.197,12.7,2.446,0.192,11.9,2.501,0.21,30.7,5.697,0,0.185,0.958,5.2,10.4,1.167,0.112,HFD
540,201012_21,E33_F,B,Probe_D5,1,MWM_150,1/22/21,60,11.262,NE,0.188,4.7,1.032,0.219,7.8,1.46,0.186,12.2,2.557,0.21,35.3,6.212,2.7,0.176,2.302,12.5,5,0.964,0.194,HFD
541,201012_22,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,10.409,SE,0.173,4.2,0.831,0.196,9.8,1.551,0.159,9.1,1.897,0.209,36.9,6.13,2.3,0.166,5.553,29.2,5.6,0.881,0.157,HFD
542,201012_23,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,9.164,NE,0.153,14.1,2.082,0.148,11.6,1.314,0.113,8.4,1.694,0.202,26,4.074,5,0.157,1.47,6.3,13,2.165,0.166,HFD
543,201012_24,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,8.123,NE,0.135,7.4,1.068,0.144,0.9,0.084,0.09,24.8,3.332,0.135,26.9,3.64,4,0.135,0.954,6.9,9.3,0.823,0.089,HFD
544,201012_25,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,7.811,SW,0.13,0,0,,1.2,0.119,0.102,6.7,1.005,0.149,52.1,6.687,0,0.128,0,0,0,0,,HFD
545,201012_26,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,10.349,SW,0.172,6,1.104,0.183,5.8,1.006,0.173,5,1.05,0.211,43.2,7.189,0,0.167,0.248,1.3,12.1,1.671,0.138,HFD
546,201012_27,E33_M,E,Probe_D5,1,MWM_150,1/22/21,60,9.405,NE,0.157,6.9,1.359,0.197,15.9,2.277,0.143,4.4,0.842,0.191,32.8,4.927,4.2,0.15,1.817,10.2,5.8,0.527,0.091,HFD
547,201012_1,E4HN_M,D,Probe_D8,1,MWM_150,1/25/21,60,7.874,NE,0.131,13,1.365,0.105,1.1,0.114,0.107,10.7,1.782,0.166,35.2,4.612,17.9,0.131,2.778,22.4,5.3,0.512,0.097,HFD
548,201012_2,E4HN_M,D,Probe_D8,1,MWM_150,1/25/21,60,9.692,NE,0.162,12.9,1.945,0.151,5.1,0.898,0.176,15.4,2.183,0.142,26.7,4.666,13.3,0.175,2.305,17.9,5.8,0.626,0.107,HFD
549,201012_3,E4HN_M,D,Probe_D8,1,MWM_150,1/25/21,60,8.304,NE,0.138,10,1.064,0.107,7.3,1.026,0.141,13.6,2.192,0.161,29.2,4.021,10.2,0.138,1.456,12.8,1,0.046,0.046,HFD
550,201012_4,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,10.381,NE,0.173,4.2,0.734,0.175,7.2,1.276,0.178,13,2.729,0.209,35.6,5.641,2.2,0.159,1.641,12.6,5.5,0.586,0.107,HFD
551,201012_5,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,8.792,NE,0.147,14.2,2.07,0.146,3.2,0.573,0.179,7.6,1.347,0.178,35,4.801,8.4,0.137,1.422,9.6,7,0.96,0.137,HFD
552,201012_6,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,9.432,NE,0.157,10.7,1.503,0.14,6,0.86,0.143,6.6,1.127,0.17,36.6,5.942,8,0.162,4.373,27.2,0,0,,HFD
553,201012_7,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,10.166,NE,0.169,1.2,0.131,0.109,0,0,,21.6,3.918,0.181,37.2,6.117,0.9,0.165,0.474,2.5,3.8,0.49,0.129,HFD
554,201012_8,E4HN_F,F,Probe_D8,1,MWM_150,1/25/21,60,10.083,NE,0.168,5.4,0.721,0.134,3.3,0.47,0.144,24,4.255,0.177,27.4,4.638,1.8,0.169,0.704,3.8,10.6,1.166,0.11,HFD
