Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
295,200331_1,APOE22F,A,Day4,3,MWM_150,4/3/2020,60.0,11.989,0.200,14.2,3.052,0.215,11.3,2.343,0.207,13.2,2.741,0.207,21.2,3.853,0.182,,,1.4,0.067,0.049,Control
296,200331_2,APOE22F,A,Day4,3,MWM_150,4/3/2020,7.0,0.971,0.138,0.0,0.000,,0.0,0.000,,2.1,0.372,0.178,4.9,0.599,0.121,0.894,4.9,1.1,0.218,0.192,Control
297,200331_3,APOE22F,A,Day4,3,MWM_150,4/3/2020,7.7,0.899,0.117,0.0,0.000,,1.9,0.385,0.206,1.0,0.125,0.126,4.8,0.390,0.080,0.862,5.6,0.0,0.000,,Control
298,200331_4,APOE22F,A,Day4,3,MWM_150,4/3/2020,10.1,1.239,0.123,5.1,0.647,0.127,1.7,0.317,0.190,0.0,0.000,,3.3,0.275,0.083,1.169,8.1,0.0,0.000,,Control
299,200331_5,APOE22F,A,Day4,3,MWM_150,4/3/2020,18.0,2.501,0.139,0.0,0.000,,0.0,0.000,,14.3,1.784,0.125,3.7,0.717,0.192,2.214,16.0,3.1,0.290,0.095,Control
300,200331_6,APOE22F,A,Day4,3,MWM_150,4/3/2020,60.0,10.103,0.168,24.4,4.237,0.173,10.5,1.861,0.177,21.4,3.455,0.162,3.7,0.550,0.150,,,4.9,0.691,0.140,Control
301,200331_7,APOE22F,A,Day4,3,MWM_150,4/3/2020,7.3,1.265,0.174,0.0,0.000,,0.0,0.000,,2.3,0.585,0.259,5.0,0.681,0.135,1.188,5.3,0.1,0.000,0.000,Control
302,200331_8,APOE22F,A,Day4,3,MWM_150,4/3/2020,2.4,0.038,0.016,0.0,0.000,,0.0,0.000,,0.0,0.000,,2.4,0.038,0.016,0.000,0.0,0.0,0.000,,Control
303,200331_9,APOE22F,A,Day4,3,MWM_150,4/3/2020,12.1,1.378,0.114,1.3,0.072,0.057,0.0,0.000,,3.7,0.637,0.174,7.2,0.669,0.093,1.345,10.0,0.0,0.000,,Control
304,200331_10,APOE22F,A,Day4,3,MWM_150,4/3/2020,60.0,10.449,0.174,13.8,2.498,0.181,14.4,2.729,0.190,19.6,3.191,0.163,12.2,2.032,0.167,,,8.0,0.999,0.125,Control
305,200331_11,APOE22M,C,Day4,3,MWM_150,4/3/2020,25.2,4.183,0.166,0.0,0.000,,10.0,2.037,0.204,6.4,1.083,0.169,8.8,1.063,0.121,4.064,23.2,4.3,0.697,0.163,Control
306,200331_12,APOE22M,C,Day4,3,MWM_150,4/3/2020,5.3,0.475,0.090,0.0,0.000,,0.0,0.000,,0.0,0.000,,5.3,0.475,0.090,0.399,3.3,0.0,0.000,,Control
307,200331_13,APOE22M,C,Day4,3,MWM_150,4/3/2020,31.5,4.615,0.146,8.9,1.270,0.143,13.1,1.795,0.137,4.4,0.860,0.194,5.1,0.691,0.135,4.543,29.5,2.9,0.502,0.171,Control
308,200331_14,APOE44M,D,Day4,3,MWM_150,4/3/2020,26.8,3.747,0.140,4.8,0.713,0.148,0.9,0.171,0.183,6.3,1.204,0.192,14.8,1.659,0.112,3.747,24.8,5.4,0.779,0.145,Control
309,200331_15,APOE44M,D,Day4,3,MWM_150,4/3/2020,8.3,0.841,0.102,0.0,0.000,,0.0,0.000,,0.6,0.053,0.085,7.6,0.788,0.103,0.773,6.2,0.0,0.000,,Control
310,200331_16,APOE44M,D,Day4,3,MWM_150,4/3/2020,4.2,0.453,0.109,0.0,0.000,,0.0,0.000,,0.0,0.000,,4.2,0.453,0.109,0.382,2.1,0.0,0.000,,Control
311,200331_17,APOE44F,B,Day4,3,MWM_150,4/3/2020,4.9,0.631,0.130,0.0,0.000,,1.8,0.401,0.220,0.0,0.000,,3.0,0.230,0.076,0.598,2.8,0.0,0.000,,Control
312,200331_18,APOE44M,D,Day4,3,MWM_150,4/3/2020,5.3,0.557,0.105,0.0,0.000,,0.0,0.000,,0.9,0.154,0.166,4.4,0.403,0.092,0.516,3.3,0.0,0.000,,Control
313,200331_19,APOE44F,B,Day4,3,MWM_150,4/3/2020,8.2,1.431,0.175,0.0,0.000,,1.3,0.247,0.197,0.6,0.073,0.122,6.3,1.110,0.176,1.395,6.1,0.0,0.000,,Control
