Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
181,210906_13,E44,A,Day2,4,MWM_150,9/14/2021,10.7,1.454,0.136,0,0,,4.8,0.925,0.194,0,0,,5.9,0.529,0.089,1.315,6.6,0,0,,HFD,F,12
182,210906_14,E44,A,Day2,4,MWM_150,9/14/2021,7.3,0.616,0.085,0,0,,1.9,0.292,0.151,0,0,,5.3,0.324,0.061,0.514,3.2,0,0,,HFD,F,12
183,210906_15,E44,A,Day2,4,MWM_150,9/14/2021,19.7,3.202,0.162,1.9,0.432,0.231,9,1.592,0.177,0.7,0.186,0.266,8.2,0.993,0.121,3.168,15.7,2.5,0.234,0.095,HFD,F,12
184,210906_16,E44,A,Day2,4,MWM_150,9/14/2021,8.8,0.927,0.105,0,0,,1.5,0.243,0.158,0,0,,7.3,0.684,0.094,0.861,4.8,0,0,,HFD,F,12
185,210906_17,E44,A,Day2,4,MWM_150,9/14/2021,10.9,1.09,0.1,0,0,,4.8,0.705,0.146,0,0,,6,0.385,0.064,1.025,6.8,0,0,,HFD,F,12
186,210906_18,E44,A,Day2,4,MWM_150,9/14/2021,15.2,2.263,0.148,6.2,1.24,0.199,1.9,0.329,0.173,1.7,0.451,0.26,5.4,0.244,0.045,2.188,11.2,1.4,0.173,0.124,HFD,F,12
187,210906_19,E44,A,Day2,4,MWM_150,9/14/2021,60,12.079,0.201,13.6,2.837,0.209,8.8,1.976,0.224,28.2,5.264,0.187,9.4,2.002,0.212,,,14.1,2.475,0.176,HFD,F,12
188,210906_20,E44,A,Day2,4,MWM_150,9/14/2021,22.2,3.143,0.141,4.9,0.965,0.196,8.7,1.266,0.145,0,0,,8.6,0.912,0.106,3.052,18.1,4.8,0.455,0.095,HFD,F,12
189,210906_21,E44,A,Day2,4,MWM_150,9/14/2021,19.3,2.325,0.121,9.7,1.403,0.145,4.4,0.667,0.151,0,0,,5.1,0.255,0.05,2.284,15.2,2.7,0.165,0.061,HFD,F,12
190,210906_22,E44,A,Day2,4,MWM_150,9/14/2021,22.5,2.973,0.132,0,0,,7.1,1.069,0.15,1.1,0.129,0.121,14.3,1.775,0.124,2.857,18.5,2.1,0.124,0.06,HFD,F,12
191,210906_23,E44,A,Day2,4,MWM_150,9/14/2021,9.1,1.061,0.117,0,0,,3.5,0.667,0.189,0,0,,5.5,0.394,0.071,0.962,5,0,0,,Control,F,12
192,210906_24,E44,A,Day2,4,MWM_150,9/14/2021,14.5,1.765,0.121,0,0,,4.7,0.763,0.161,0,0,,9.8,1.003,0.102,1.7,10.5,0.5,0.035,0.075,Control,F,12
193,210906_1,E2HN_F,B,Day3,1,MWM_150,9/15/2021,8.5,1.025,0.121,0,0,,3.3,0.682,0.204,0,0,,5.1,0.343,0.067,0.923,4.4,0,0,,Control,F,12
194,210906_2,E2HN_F,B,Day3,1,MWM_150,9/15/2021,34,3.86,0.114,0,0,,15.8,1.486,0.094,6.9,1.142,0.166,11.3,1.232,0.109,3.792,29.9,4.7,0.507,0.108,Control,F,12
195,210906_3,E2HN_F,B,Day3,1,MWM_150,9/15/2021,35,5.492,0.157,9.6,2.122,0.222,10.4,1.542,0.148,0.8,0.153,0.191,14.2,1.676,0.118,5.459,30.9,5.6,0.642,0.115,Control,F,12
196,210906_4,E2HN_F,B,Day3,1,MWM_150,9/15/2021,8.8,1.111,0.127,0,0,,1.9,0.374,0.196,0,0,,6.9,0.737,0.108,0.899,4.6,0,0,,Control,F,12
197,210906_5,E2HN_F,B,Day3,1,MWM_150,9/15/2021,8.4,0.902,0.108,0,0,,3.4,0.548,0.159,0,0,,4.9,0.354,0.072,0.798,4.3,0,0,,Control,F,12
198,210906_6,E2HN_M,C,Day3,1,MWM_150,9/15/2021,22.6,2.826,0.125,0,0,,8.7,1.275,0.146,0,0,,13.9,1.551,0.112,2.826,18.5,4.8,0.618,0.13,Control,M,12
199,210906_7,E2HN_F,B,Day3,1,MWM_150,9/15/2021,11.8,1.291,0.109,0,0,,5.3,0.892,0.167,0,0,,6.5,0.399,0.062,1.258,7.8,0,0,,Control,F,12
200,210906_8,E2HN_F,B,Day3,1,MWM_150,9/15/2021,18.5,2.449,0.132,3.3,0.372,0.113,6.7,0.785,0.117,2.1,0.608,0.294,6.4,0.683,0.106,2.416,14.4,0,0,,Control,F,12
201,210906_9,E44,A,Day3,1,MWM_150,9/15/2021,19.3,3.013,0.156,0,0,,2.2,0.393,0.176,1.4,0.211,0.147,15.6,2.409,0.154,2.892,15.2,0,0,,HFD,F,12
202,210906_10,E44,A,Day3,1,MWM_150,9/15/2021,15.2,1.917,0.126,0.6,0.087,0.154,5.4,0.833,0.155,0,0,,9.3,0.996,0.108,1.879,11.1,0,0,,HFD,F,12
203,210906_11,E44,A,Day3,1,MWM_150,9/15/2021,9.7,0.903,0.093,0,0,,3.8,0.592,0.155,0,0,,5.9,0.311,0.053,0.836,5.7,0,0,,HFD,F,12
204,210906_12,E44,A,Day3,1,MWM_150,9/15/2021,18.3,2.535,0.139,1.8,0.314,0.178,5.9,1.17,0.198,1.4,0.265,0.189,9.2,0.786,0.085,2.502,14.3,0,0,,HFD,F,12
205,210906_13,E44,A,Day3,1,MWM_150,9/15/2021,29.3,5.979,0.204,4.7,1.053,0.222,9.5,2.164,0.229,3.5,0.753,0.217,11.6,2.009,0.173,5.904,25.2,1.5,0.36,0.245,HFD,F,12
206,210906_14,E44,A,Day3,1,MWM_150,9/15/2021,38.5,6.95,0.181,8.5,1.567,0.184,7.7,1.499,0.196,11.3,2.37,0.21,11,1.514,0.138,6.911,34.4,7.4,1.225,0.166,HFD,F,12
207,210906_15,E44,A,Day3,1,MWM_150,9/15/2021,24.6,4.581,0.186,6.6,1.42,0.214,3.2,0.666,0.207,5.6,1.361,0.242,9.1,1.134,0.125,4.543,20.5,1.8,0.365,0.199,HFD,F,12
