Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age
406,220207_11,E3HN_F_18 month Control,B,Day5,4,MWM_150,2/25/2022,16.6,1.634,0.098,2.5,0.384,0.156,0,0,,5.7,0.788,0.137,8.4,0.462,0.055,1.634,11.6,0,0,,Control,F,18
407,220207_12,E3HN_F_18 month Control,B,Day5,4,MWM_150,2/25/2022,11.5,1.011,0.088,3.3,0.594,0.18,0.1,0,0,0.4,0.05,0.135,7.7,0.367,0.048,1.011,6.4,0,0,,Control,F,18
408,220207_13,E3HN_F_18 month Control,B,Day5,4,MWM_150,2/25/2022,22.8,2.156,0.095,7.1,0.664,0.094,4,0.578,0.143,2.3,0.259,0.114,9.4,0.655,0.07,2.074,17.7,0,0,,Control,F,18
409,220207_14,E3HN_F_18 month HFD,A,Day5,4,MWM_150,2/25/2022,31,3.277,0.106,5.4,0.524,0.097,0,0,,11.6,1.442,0.125,14.1,1.31,0.093,3.232,26,1.6,0.173,0.111,HFD,F,18
410,220207_15,E3HN_F_18 month HFD,A,Day5,4,MWM_150,2/25/2022,23.4,3.008,0.128,4.4,0.738,0.167,2.3,0.494,0.212,2.2,0.271,0.123,14.5,1.505,0.104,2.967,18.3,1.7,0.143,0.086,HFD,F,18
411,220207_16,E3HN_F_18 month HFD,A,Day5,4,MWM_150,2/25/2022,13.5,1.215,0.09,4.7,0.612,0.129,0,0,,1.4,0.289,0.202,7.3,0.314,0.043,1.173,8.4,0,0,,HFD,F,18
412,220207_17,E3HN_F_18 month HFD,A,Day5,4,MWM_150,2/25/2022,39,5.157,0.132,3.2,0.386,0.122,0,0,,13.5,2.205,0.164,22.3,2.566,0.115,5.116,33.9,0,0,,HFD,F,18
413,220207_18,E3HN_F_18 month HFD,A,Day5,4,MWM_150,2/25/2022,14,1.369,0.098,3.9,0.575,0.146,1,0.183,0.177,0,0,,9,0.612,0.068,1.328,8.9,0,0,,HFD,F,18
414,220207_19,E3HN_M_18 month Control,C,Day5,4,MWM_150,2/25/2022,60,14.706,0.245,7.7,1.871,0.244,6,1.458,0.244,22.8,5.898,0.258,23.5,5.479,0.233,,,4.3,0.773,0.179,Control,M,18
415,220207_20,E3HN_M_18 month Control,C,Day5,4,MWM_150,2/25/2022,10.5,1.054,0.101,3,0.432,0.143,0,0,,0.7,0.166,0.226,6.7,0.456,0.068,0.918,5.4,0,0,,Control,M,18
416,220207_21,E3HN_M_18 month Control,C,Day5,4,MWM_150,2/25/2022,11.5,1.169,0.102,3,0.361,0.121,1.4,0.317,0.232,0,0,,7.2,0.491,0.068,1.033,6.5,0,0,,Control,M,18
417,220207_22,E3HN_M_18 month Control,C,Day5,4,MWM_150,2/25/2022,18.7,1.847,0.099,7.7,0.658,0.086,0,0,,2.3,0.53,0.231,8.7,0.659,0.076,1.721,13.6,0,0,,Control,M,18
418,220207_23,E3HN_M_18 month Control,C,Day5,4,MWM_150,2/25/2022,18.3,2.13,0.116,3,0.425,0.14,2.7,0.325,0.12,1.9,0.289,0.149,10.7,1.092,0.102,1.96,13.3,0,0,,Control,M,18
419,220207_24,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,16.1,1.54,0.095,3.8,0.557,0.146,5.8,0.68,0.117,0,0,,6.5,0.303,0.047,1.455,11.1,0,0,,HFD,M,18
420,220207_25,E3HN_M_18 month HFD,D,Day5,4,MWM_150,2/25/2022,25.7,2.419,0.094,3.5,0.536,0.154,2.9,0.527,0.182,0,0,,19.3,1.355,0.07,2.376,20.6,0,0,,HFD,M,18
421,220207_1,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,7.379,0.123,7.7,0.712,0.093,3.6,0.452,0.127,24.2,2.673,0.11,24.5,3.541,0.144,3.002,27.9,2.1,0.206,0.097,HFD,M,18
422,220207_2,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,8.061,0.134,16.3,1.695,0.104,21.7,3.112,0.143,10.4,1.327,0.128,11.6,1.928,0.167,1.594,17.9,8,0.81,0.101,HFD,M,18
423,220207_3,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,10.738,0.179,3.8,0.713,0.187,4.4,0.671,0.152,19.9,3.339,0.168,31.9,6.016,0.189,2.128,13.3,5.5,0.824,0.149,HFD,M,18
424,220207_4,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,9.62,0.16,6.2,0.705,0.113,7,1.075,0.154,11.5,1.638,0.142,35.3,6.202,0.176,4.194,26.6,6.3,0.729,0.116,HFD,M,18
425,220207_9,E3HN_F_18 month Control,B,Probe_D5,1,MWM_150,2/25/2022,60,11.901,0.198,2.6,0.523,0.198,2.8,0.531,0.188,15.8,3.135,0.199,38.8,7.711,0.199,0.934,4.1,5.5,0.596,0.109,Control,F,18
426,220207_10,E3HN_F_18 month Control,B,Probe_D5,1,MWM_150,2/25/2022,60,10.749,0.179,2.9,0.733,0.249,2.8,0.375,0.136,19.6,3.318,0.17,34.7,6.323,0.182,5.807,33,4.5,0.625,0.139,Control,F,18
427,220207_11,E3HN_F_18 month Control,B,Probe_D5,1,MWM_150,2/25/2022,60,10.213,0.17,5.4,0.82,0.151,12.4,1.879,0.152,14.1,2.641,0.188,28.1,4.872,0.173,0.784,4.7,3.2,0.474,0.149,Control,F,18
428,220207_12,E3HN_F_18 month Control,B,Probe_D5,1,MWM_150,2/25/2022,60,10.74,0.179,8.9,1.721,0.194,8,1.389,0.175,15.3,2.962,0.194,27.9,4.668,0.168,5.561,32.5,5.5,0.7,0.127,Control,F,18
429,220207_13,E3HN_F_18 month Control,B,Probe_D5,1,MWM_150,2/25/2022,60,7.512,0.125,16.8,1.867,0.111,14.4,2.085,0.145,13,1.424,0.109,15.8,2.136,0.135,1.439,17.1,3.6,0.605,0.168,Control,F,18
430,220207_14,E3HN_F_18 month HFD,A,Probe_D5,1,MWM_150,2/25/2022,60,7.365,0.123,8.4,1.2,0.143,0.6,0.049,0.078,19.7,2.291,0.116,31.3,3.825,0.122,,,12.9,0.826,0.064,HFD,F,18
431,220207_15,E3HN_F_18 month HFD,A,Probe_D5,1,MWM_150,2/25/2022,60,9.46,0.158,6.4,1.143,0.179,7.5,1.219,0.163,26.9,3.878,0.144,19.2,3.219,0.168,,,4.7,0.624,0.134,HFD,F,18
432,220207_16,E3HN_F_18 month HFD,A,Probe_D5,1,MWM_150,2/25/2022,60,9.251,0.154,9.1,1.579,0.174,7.8,1.364,0.175,20.6,3.241,0.157,22.5,3.068,0.136,1.885,14.2,6,0.969,0.162,HFD,F,18
433,220207_17,E3HN_F_18 month HFD,A,Probe_D5,1,MWM_150,2/25/2022,60,8.953,0.149,8.1,1.185,0.146,12.9,1.892,0.146,11.1,1.619,0.145,27.8,4.258,0.153,6.021,41.6,4.8,0.682,0.143,HFD,F,18
434,220207_18,E3HN_F_18 month HFD,A,Probe_D5,1,MWM_150,2/25/2022,60,9.642,0.161,6,1.067,0.179,7.3,1.238,0.17,11.6,1.991,0.172,35.2,5.345,0.152,1.728,12.5,5,0.732,0.147,HFD,F,18
435,220207_19,E3HN_M_18 month Control,C,Probe_D5,1,MWM_150,2/25/2022,60,12.811,0.214,11.3,2.252,0.199,6.6,1.424,0.217,24,5.165,0.215,18.1,3.969,0.219,5.159,22.8,8.4,1.163,0.139,Control,M,18
436,220207_20,E3HN_M_18 month Control,C,Probe_D5,1,MWM_150,2/25/2022,60,12.305,0.205,7.7,1.53,0.198,13.3,2.545,0.191,16.3,3.339,0.205,22.7,4.89,0.216,0.996,4.6,1.7,0.167,0.099,Control,M,18
437,220207_21,E3HN_M_18 month Control,C,Probe_D5,1,MWM_150,2/25/2022,60,10.975,0.183,6.1,1.155,0.19,3.1,0.673,0.215,19.1,3.368,0.176,31.7,5.778,0.182,1.738,10.8,5.6,0.474,0.084,Control,M,18
438,220207_22,E3HN_M_18 month Control,C,Probe_D5,1,MWM_150,2/25/2022,60,10.656,0.178,3.3,0.482,0.147,11.5,1.97,0.171,8.5,1.243,0.147,36.7,6.96,0.19,1.081,8.1,2,0.211,0.104,Control,M,18
439,220207_23,E3HN_M_18 month Control,C,Probe_D5,1,MWM_150,2/25/2022,60,10.143,0.169,13.2,1.974,0.149,10.8,1.95,0.181,16.1,2.696,0.168,19.9,3.523,0.177,1.698,12.7,2.4,0.392,0.161,Control,M,18
440,220207_24,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,10.156,0.169,6.5,1.204,0.185,14.5,2.438,0.168,14.9,2.607,0.175,24,3.908,0.163,1.529,10.7,5.8,1.069,0.184,HFD,M,18
441,220207_25,E3HN_M_18 month HFD,D,Probe_D5,1,MWM_150,2/25/2022,60,7.744,0.129,5.4,0.898,0.167,6.3,0.699,0.111,16.9,2.024,0.12,31.4,4.124,0.131,3.597,28.5,0,0,,HFD,M,18
442,220207_1,E3HN_M_18 month HFD,D,Probe_D8,1,MWM_150,2/28/2022,60,9.104,0.152,4,0.319,0.079,9.3,1.299,0.139,31.8,4.997,0.157,14.8,2.49,0.168,,,5.7,0.746,0.13,HFD,M,18
443,220207_2,E3HN_M_18 month HFD,D,Probe_D8,1,MWM_150,2/28/2022,60,9.05,0.151,4.8,0.429,0.089,10.4,1.495,0.144,11.1,1.988,0.179,33.7,5.138,0.153,1.495,12.3,10.6,1.43,0.135,HFD,M,18
444,220207_3,E3HN_M_18 month HFD,D,Probe_D8,1,MWM_150,2/28/2022,60,10.135,0.169,4.4,0.772,0.174,12.9,1.931,0.15,13.3,2.252,0.169,29.3,5.18,0.177,2.079,12.9,0,0,,HFD,M,18
