Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
223,220509_4,E22_F_18mnth HFD,D,Probe_D5,1,MWM_150,5/20/22,60,10.378,0.173,10.5,1.635,0.156,11.4,1.725,0.151,3,0.483,0.161,35.1,6.536,0.186,1.412,11.3,1.8,0.29,0.158,HFD,F,18,E22
224,220509_6,E22_F_18mnth HFD,D,Probe_D5,1,MWM_150,5/20/22,60,11.193,0.187,10.4,1.963,0.188,7.4,1.29,0.174,19.4,3.506,0.181,22.8,4.433,0.195,2.359,13.1,0,0,,HFD,F,18,E22
225,220509_7,E33_M_18mnth HFD,C,Probe_D5,1,MWM_150,5/20/22,60,9.12,0.152,3.4,0.637,0.186,4.4,0.444,0.101,11.3,1.774,0.157,40.8,6.265,0.153,1.01,5.8,9.3,1.287,0.138,HFD,M,18,E33
226,220509_8,E33_F_18mnth HFD,F,Probe_D5,1,MWM_150,5/20/22,60,10.908,0.182,6.1,1.421,0.234,21.4,4.074,0.19,3.9,0.736,0.189,28.6,4.678,0.163,1.409,6,15.3,1.911,0.125,HFD,F,18,E33
227,220509_10,E33_F_18mnth HFD,F,Probe_D5,1,MWM_150,5/20/22,60,10.686,0.178,19,3.46,0.182,5.4,1.058,0.195,20.8,3.582,0.172,14.8,2.587,0.175,7.838,43.8,43.2,7.308,0.169,HFD,F,18,E33
228,220509_11,E44_F_18mnth Control,E,Probe_D5,1,MWM_150,5/20/22,60,10.644,0.177,13.1,2.308,0.177,9.5,1.617,0.17,19.1,3.505,0.184,18.3,3.214,0.176,,,2.1,0.344,0.164,Control,F,18,E44
229,220509_12,E22_F_12mnth Control,B,Probe_D5,1,MWM_150,5/20/22,60,11.672,0.195,2.5,0.494,0.198,3.8,0.672,0.175,24.2,4.549,0.188,29.4,5.958,0.202,2.594,13.2,1.8,0.187,0.104,Control,F,12,E22
230,220509_13,E22_F_12mnth Control,B,Probe_D5,1,MWM_150,5/20/22,60,10.859,0.181,3.4,0.799,0.235,7.3,1.212,0.165,10.2,2.165,0.212,39,6.683,0.171,1.766,11.1,3.2,0.346,0.109,Control,F,12,E22
231,220509_14,E22_F_12mnth Control,B,Probe_D5,1,MWM_150,5/20/22,60,11.862,0.198,4.9,1.076,0.22,2.3,0.446,0.194,10.4,2.128,0.205,42.4,8.213,0.194,1.803,12.1,3.2,0.544,0.168,Control,F,12,E22
232,220509_1,E22_M_18mnth HFD,A,Probe_D8,1,MWM_150,5/23/22,60,11.059,0.184,6.8,1.273,0.188,5.5,1.244,0.225,27.3,4.776,0.175,20.4,3.766,0.185,1.093,7.9,4,0.586,0.145,HFD,M,18,E22
