Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
377,210112_28,E44_F,B,Day4,2,MWM_150,4/22/21,12.9,1.326,0.102,0,0,,4.5,0.737,0.163,0,0,,5.2,0.243,0.047,1.241,8.8,3.3,0.346,0.106,HFD
378,210112_29,E44_F,B,Day4,2,MWM_150,4/22/21,21.8,3.04,0.14,0,0,,4.6,1.041,0.226,4.5,0.788,0.174,8.2,0.86,0.104,3.006,17.7,4.4,0.352,0.08,HFD
379,210112_1,E4HN_F,D,Day4,3,MWM_150,4/22/21,16.3,1.896,0.117,4.6,0.45,0.098,0,0,,4.2,0.842,0.202,6.6,0.466,0.07,1.857,12.2,0.9,0.137,0.158,HFD
380,210112_2,E4HN_F,D,Day4,3,MWM_150,4/22/21,12.9,1.144,0.089,3.3,0.503,0.154,0,0,,0.5,0.142,0.303,9.2,0.499,0.055,1.105,8.8,0,0,,HFD
381,210112_4,E4HN_F,D,Day4,3,MWM_150,4/22/21,24,2.46,0.102,1.9,0.315,0.166,0,0,,2.5,0.484,0.196,19.7,1.661,0.084,2.391,20,0,0,,HFD
382,210112_5,E4HN_M,F,Day4,3,MWM_150,4/22/21,18.7,1.993,0.106,9.2,0.823,0.09,0,0,,0.1,0.041,0.306,9.4,1.129,0.12,1.959,14.7,0,0,,Control
383,210112_6,E4HN_M,F,Day4,3,MWM_150,4/22/21,22.3,2.339,0.105,11.6,1.084,0.094,0,0,,2.2,0.481,0.215,8.5,0.774,0.091,2.339,18.3,0,0,,Control
384,210112_7,E4HN_M,F,Day4,3,MWM_150,4/22/21,21.6,1.729,0.08,11.8,0.553,0.047,2.4,0.357,0.147,0.4,0.095,0.259,7.1,0.724,0.102,1.635,17.6,0,0,,Control
385,210112_8,E4HN_M,F,Day4,3,MWM_150,4/22/21,44,5.511,0.125,16.9,0.775,0.046,5.6,1.271,0.228,4.3,0.839,0.197,12.6,1.897,0.15,5.436,39.9,4.7,0.73,0.156,Control
386,210112_9,E4HN_M,F,Day4,3,MWM_150,4/22/21,60,11.194,0.187,7.4,1.22,0.165,7.5,1.844,0.247,9.6,1.558,0.163,21.3,4.759,0.223,,,14.3,1.813,0.127,HFD
387,210112_10,E4HN_M,F,Day4,3,MWM_150,4/22/21,20,1.983,0.099,2.9,0.216,0.075,0,0,,5.6,0.791,0.14,11.4,0.975,0.085,1.941,15.9,0,0,,HFD
388,210112_11,E4HN_M,F,Day4,3,MWM_150,4/22/21,42.6,6.396,0.15,8.2,1.423,0.174,3,0.732,0.244,10,1.652,0.165,14.2,1.534,0.108,6.353,38.5,7.2,1.055,0.147,HFD
389,210112_12,E4HN_M,F,Day4,3,MWM_150,4/22/21,15.4,1.294,0.084,7.9,0.635,0.08,0,0,,2,0.353,0.18,5.4,0.306,0.056,1.256,11.3,0,0,,HFD
390,210112_13,E4HN_F,D,Day4,3,MWM_150,4/22/21,7,0.7,0.1,1.1,0.201,0.191,0,0,,0.8,0.213,0.278,5.2,0.286,0.055,0.7,2.9,0,0,,Control
391,210112_14,E4HN_F,D,Day4,3,MWM_150,4/22/21,8.6,0.933,0.108,1.6,0.298,0.185,0,0,,0.9,0.183,0.203,6.1,0.452,0.074,0.864,4.5,0,0,,Control
392,210112_15,E4HN_F,D,Day4,3,MWM_150,4/22/21,49,7.072,0.144,6.7,1.243,0.185,20.8,2.998,0.144,4.4,0.76,0.174,15.3,1.826,0.119,7.003,44.9,1.7,0.246,0.142,Control
393,210112_16,E4HN_F,D,Day4,3,MWM_150,4/22/21,19.2,2.956,0.154,5.6,0.976,0.173,1.8,0.49,0.267,5.3,1.026,0.195,6.5,0.464,0.072,2.882,15.1,0,0,,Control
394,210112_17,E4HN_F,D,Day4,3,MWM_150,4/22/21,7.8,0.88,0.113,1,0.185,0.189,1.7,0.448,0.263,0,0,,5.1,0.247,0.049,0.841,3.7,0,0,,Control
395,210112_18,E3HN_M,C,Day4,3,MWM_150,4/22/21,30.8,4.63,0.15,7.3,0.992,0.135,3,0.655,0.218,6.2,1.154,0.186,11.7,1.636,0.14,4.592,26.7,2.6,0.193,0.075,HFD
396,210112_19,E3HN_M,C,Day4,3,MWM_150,4/22/21,60,8.775,0.146,6.7,0.504,0.076,0.7,0.153,0.208,21.7,3.556,0.164,7.5,1.652,0.22,,,23.4,2.91,0.124,HFD
397,210112_20,E3HN_M,C,Day4,3,MWM_150,4/22/21,22.8,3.586,0.157,10.3,1.544,0.15,2.1,0.437,0.211,3,0.746,0.249,7.5,0.86,0.115,3.544,18.8,0,0,,HFD
398,210112_21,E3HN_F,E,Day4,3,MWM_150,4/22/21,37.9,5.179,0.137,14.5,2.102,0.145,2.2,0.372,0.169,11.2,1.617,0.145,8.3,0.802,0.097,5.132,33.8,1.8,0.287,0.162,HFD
399,210112_23,E3HN_F,E,Day4,3,MWM_150,4/22/21,20.1,2.574,0.128,4.4,0.469,0.106,0,0,,3.6,0.669,0.188,12.1,1.436,0.119,2.536,16,0,0,,HFD
400,210112_24,E3HN_F,E,Day4,3,MWM_150,4/22/21,15,2.011,0.134,2.3,0.332,0.142,0,0,,4.7,1.036,0.22,7,0.558,0.08,1.932,10.9,1,0.084,0.084,HFD
401,210112_25,E44_M,A,Day4,3,MWM_150,4/22/21,9.1,0.81,0.089,0,0,,0,0,,2.4,0.381,0.161,6.8,0.429,0.063,0.732,5.1,0,0,,HFD
402,210112_26,E44_M,A,Day4,3,MWM_150,4/22/21,19.3,2.713,0.14,2.4,0.366,0.15,3.5,0.742,0.214,0.8,0.104,0.13,12.6,1.5,0.119,2.65,15.3,0,0,,HFD
403,210112_27,E44_F,B,Day4,3,MWM_150,4/22/21,10.5,0.924,0.088,3.6,0.504,0.138,0,0,,0.3,0,0,6.6,0.42,0.063,0.884,6.4,0,0,,HFD
