Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet
623,221003_23,E4HN_M_6month_Control,A,Probe_D5,1,MWM_150,10/14/22,60,11.645,0.194,6.2,1.172,0.189,13.4,2.848,0.212,9.7,2.002,0.206,30.6,5.623,0.184,0.975,9.6,4.6,0.688,0.149,Control
624,221003_24,E4HN_M_6month_Control,A,Probe_D5,1,MWM_150,10/14/22,60,13.554,0.226,6,1.197,0.2,9.8,2.296,0.235,15,3.498,0.234,29.3,6.562,0.224,1.362,8,2.8,0.392,0.14,Control
625,221003_25,E4HN_M_6month_Control,A,Probe_D5,1,MWM_150,10/14/22,60,12.372,0.206,9.1,1.88,0.207,8.5,2.006,0.235,17.2,3.753,0.218,25.2,4.733,0.188,1.065,3.9,11.6,1.735,0.15,Control
626,221003_26,E4HN_F_6month_Control,H,Probe_D5,1,MWM_150,10/14/22,60,11.077,0.185,17.6,2.74,0.156,8.9,1.854,0.209,18,3.552,0.197,15.5,2.93,0.189,1.843,14,2.7,0.359,0.135,Control
627,221003_27,E4HN_F_6month_Control,H,Probe_D5,1,MWM_150,10/14/22,60,11.413,0.19,19.6,3.765,0.192,5.8,1.207,0.208,12.8,2.758,0.215,21.7,3.682,0.169,1.732,11.7,7.8,1.151,0.148,Control
628,221003_28,E4HN_F_6month_Control,H,Probe_D5,1,MWM_150,10/14/22,60,13.332,0.222,15.4,3.29,0.213,13.1,3.033,0.232,9.5,2.208,0.232,22,4.8,0.218,9.157,40.5,5.2,1.074,0.205,Control
629,221003_29,E4HN_F_6month_Control,H,Probe_D5,1,MWM_150,10/14/22,60,12.028,0.2,20.5,3.677,0.179,10.3,2.239,0.217,11,2.398,0.218,18.2,3.714,0.204,1.285,12.8,5.3,1.281,0.242,Control
630,221003_30,E4HN_F_6month_Control,H,Probe_D5,1,MWM_150,10/14/22,60,10.941,0.182,5,0.942,0.19,8.8,1.733,0.197,15.2,2.302,0.152,31.1,5.964,0.192,3.578,25.7,0,0,,Control
631,221003_1,E22_F_12month_HFD,F,Probe_D8,1,MWM_150,10/17/22,60,11.404,0.19,17,2.887,0.17,14.9,2.825,0.19,10.7,2.262,0.211,17.4,3.431,0.197,4.261,25.4,3.1,0.601,0.196,HFD
632,221003_2,E22_F_12month_HFD,F,Probe_D8,1,MWM_150,10/17/22,60,11.181,0.186,11.5,2.167,0.188,10.6,2.032,0.192,19.7,3.75,0.191,18.2,3.232,0.178,3.015,19.1,4.1,0.549,0.134,HFD
633,221003_3,E22_F_12month_HFD,F,Probe_D8,1,MWM_150,10/17/22,60,11.28,0.188,10,1.741,0.173,11.8,2.494,0.211,11.2,1.884,0.169,27,5.161,0.191,7.216,38.6,6.9,1.121,0.162,HFD
634,221003_4,E22_F_12month_HFD,F,Probe_D8,1,MWM_150,10/17/22,60,12.829,0.214,6.2,1.523,0.247,11.9,2.439,0.206,14.6,3.378,0.232,27.4,5.488,0.2,2.553,14.2,8.1,1.067,0.131,HFD
635,221003_5,E22_M_12month_HFD,C,Probe_D8,1,MWM_150,10/17/22,60,12.415,0.207,21.7,4.044,0.186,6.3,1.263,0.201,12.7,2.803,0.22,19.2,4.304,0.224,1.656,9.1,5.2,0.713,0.136,HFD
636,221003_6,E22_M_12month_HFD,C,Probe_D8,1,MWM_150,10/17/22,60,12.876,0.215,7.8,1.997,0.257,8.8,2.107,0.239,15.3,3.137,0.205,28.1,5.635,0.2,1.02,4.6,11.4,1.967,0.172,HFD
637,221003_7,E22_M_12month_HFD,C,Probe_D8,1,MWM_150,10/17/22,60,9.972,0.166,8.1,1.33,0.165,0.9,0.165,0.19,15.5,3.146,0.203,35.6,5.331,0.15,1.044,6,2.7,0.266,0.097,HFD
638,221003_8,E3HN_M_6month_Control,B,Probe_D8,1,MWM_150,10/17/22,60,12.703,0.212,9.9,2.263,0.229,5.9,1.237,0.21,13.6,3.094,0.228,30.6,6.108,0.199,1.376,5.7,0,0,,Control
639,221003_9,E3HN_M_6month_Control,B,Probe_D8,1,MWM_150,10/17/22,60,14.162,0.236,12.1,3.059,0.252,8.7,1.747,0.202,15,4.182,0.279,24.2,5.173,0.214,1.233,4.6,2.1,0.234,0.11,Control
640,221003_10,E3HN_M_6month_Control,B,Probe_D8,1,MWM_150,10/17/22,60,13.294,0.222,16.9,3.396,0.201,8.7,1.704,0.197,15.9,3.934,0.247,18.5,4.261,0.23,1.373,6.4,9.7,1.01,0.104,Control
641,221003_11,E3HN_F_6month_Control,E,Probe_D8,1,MWM_150,10/17/22,60,13.459,0.224,5.6,1.376,0.244,7.5,1.893,0.251,10.8,2.769,0.256,36,7.421,0.206,1.124,5.2,0,0,,Control
642,221003_12,E3HN_F_6month_Control,E,Probe_D8,1,MWM_150,10/17/22,60,15.429,0.257,15.7,4.239,0.269,11.3,3.085,0.273,13.4,3.636,0.271,19.5,4.47,0.229,1.203,4.6,18,4.201,0.234,Control
643,221003_13,E3HN_F_6month_Control,E,Probe_D8,1,MWM_150,10/17/22,60,13.948,0.232,6.8,1.965,0.29,10.1,2.505,0.247,17.4,4.026,0.232,25.7,5.452,0.212,1.534,6.2,9.9,1.287,0.13,Control
