Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean speed,NE : time,NE : distance,NE : average speed,NW : time,NW : distance,NW : average speed,SE : time,SE : distance,SE : average speed,SW : time,SW : distance,SW : average speed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,Sex,Age,Genotype
299,220704_7,E2HN_F_18monthHFD,A,Probe_D8,1,MWM_150,7/25/2022,60.0,10.780,0.180,14.9,2.244,0.151,13.2,2.253,0.171,15.3,2.927,0.191,16.6,3.355,0.202,6.568,37.9,4.7,0.558,0.119,HFD,Female,18,E2HN
300,220704_8,E2HN_F_18monthHFD,A,Probe_D8,1,MWM_150,7/25/2022,60.0,11.591,0.193,8.8,1.294,0.147,2.0,0.459,0.229,19.0,4.405,0.232,30.2,5.433,0.180,2.051,14.2,7.8,1.483,0.190,HFD,Female,18,E2HN
301,220704_9,E2HN_F_18monthHFD,A,Probe_D8,1,MWM_150,7/25/2022,60.0,10.361,0.173,5.7,1.054,0.185,14.8,2.408,0.163,11.9,2.114,0.178,27.6,4.785,0.173,2.341,13.5,5.1,0.849,0.166,HFD,Female,18,E2HN
302,220704_10,E2HN_M_18monthHFD,D,Probe_D8,1,MWM_150,7/25/2022,60.0,11.133,0.186,10.3,2.077,0.202,13.6,2.524,0.185,8.4,1.668,0.198,27.7,4.865,0.176,0.957,5.6,5.3,0.842,0.159,HFD,Male,18,E2HN
303,220704_12,E2HN_M_18monthHFD,D,Probe_D8,1,MWM_150,7/25/2022,60.0,10.982,0.183,8.0,1.344,0.169,12.0,1.932,0.161,9.8,1.837,0.187,30.2,5.869,0.194,6.703,37.9,0.6,0.119,0.198,HFD,Male,18,E2HN
304,220704_13,E2HN_M_18monthHFD,D,Probe_D8,1,MWM_150,7/25/2022,60.0,10.490,0.175,10.2,1.604,0.158,9.2,1.528,0.166,16.3,3.150,0.193,24.3,4.208,0.173,1.634,10.7,1.6,0.218,0.133,HFD,Male,18,E2HN
305,220704_14,E2HN_M_18monthHFD,D,Probe_D8,1,MWM_150,7/25/2022,60.0,9.209,0.153,5.0,0.705,0.141,8.6,1.380,0.160,14.6,2.273,0.156,31.8,4.851,0.153,1.470,11.1,0.0,0.000,,HFD,Male,18,E2HN
306,220704_15,E3HN_F_18monthHFD,B,Probe_D8,1,MWM_150,7/25/2022,60.0,8.775,0.146,14.1,1.944,0.138,9.5,1.732,0.182,12.8,1.754,0.137,23.6,3.345,0.142,5.583,42.2,5.6,0.545,0.097,HFD,Female,18,E3HN
307,220704_16,E3HN_F_18monthHFD,B,Probe_D8,1,MWM_150,7/25/2022,60.0,10.904,0.182,11.7,2.148,0.184,20.8,3.627,0.174,13.2,2.465,0.187,14.3,2.664,0.187,2.649,13.2,3.9,0.581,0.149,HFD,Female,18,E3HN
308,220704_17,E3HN_F_18monthHFD,B,Probe_D8,1,MWM_150,7/25/2022,60.0,9.370,0.156,11.3,1.421,0.126,13.8,2.361,0.171,13.5,2.185,0.162,21.5,3.404,0.158,8.267,53.3,5.3,0.569,0.108,HFD,Female,18,E3HN
