Date :,5/27/2021 17:37,,,,,,,,,,,
Motion Threshold (au):,15,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,
Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
VF031521_113702,day0_8,Chamber 2,,,Shock 1,2,1.967,0.38,98.33,1.7,0,21
VF031521_113702,day0_8,Chamber 2,,,Shock 2,2,1.967,0.38,98.33,1.03,0,17
VF031521_113702,day0_8,Chamber 2,,,Shock 3,1,2,0.39,100,1.12,0,10
,,,,,,,,,,,,
VF031521_114834,day0_trail9,Chamber1,,,Sound 1,3,29.9,5.79,99.67,0.33,0,39
VF031521_114834,day0_trail9,Chamber1,,,Sound 2,2,29.867,5.79,99.56,0.14,0,27
VF031521_114834,day0_trail9,Chamber1,,,Sound 3,1,30,5.81,100,0.01,0,3
VF031521_114834,day0_trail9,Chamber1,,,Shock 1,2,0.9,0.17,45,10.78,0,163
VF031521_114834,day0_trail9,Chamber1,,,Shock 2,3,1.233,0.24,61.67,6.78,0,70
VF031521_114834,day0_trail9,Chamber1,,,Shock 3,3,1.167,0.23,58.33,10.48,0,144
,,,,,,,,,,,,
VF031521_114834,day0_trail9,Chamber 2,,,Sound 1,3,29.933,5.8,99.78,0.35,0,32
VF031521_114834,day0_trail9,Chamber 2,,,Sound 2,1,30,5.81,100,0.06,0,8
VF031521_114834,day0_trail9,Chamber 2,,,Sound 3,1,30,5.81,100,0,0,1
VF031521_114834,day0_trail9,Chamber 2,,,Shock 1,3,1.533,0.3,76.67,3.32,0,56
VF031521_114834,day0_trail9,Chamber 2,,,Shock 2,1,1.867,0.36,93.33,2.33,0,32
VF031521_114834,day0_trail9,Chamber 2,,,Shock 3,1,1.767,0.34,88.33,2.75,0,35
